Team,TAN.CONF,TAN.WIN,SP.WIN,X2021.Off.TARP.Percentage,X2020.Off.Success.Rate.Rank,X2020.Off.Finishing.Drives,X2020.Off.Havoc,X2021.Def.TARP.Percentage,X2020.Def.Success.Rate.Rank,X2020.Def.Finishing.Drives,X2020.Def.Havoc,DK.Opener.Win.Totals,TAN,SP.Ratings,off_overall_EPA,off_passing_EPA,off_rushing_EPA,off_first_down_EPA,off_second_down_EPA,off_third_down_EPA,off_cumulative_total_EPA,off_cumulative_passing_EPA,off_cumulative_rushing_EPA,def_overall_EPA,def_passing_EPA,def_rushing_EPA,def_first_down_EPA,def_second_down_EPA,def_third_down_EPA,def_cumulative_total_EPA,def_cumulative_passing_EPA,def_cumulative_rushing_EPA,off_plays,off_drives,off_ppa,off_total_ppa,off_success_rate,off_explosiveness,off_power_success,off_stuff_rate,off_line_yds,off_line_yds_total,off_second_lvl_yds,off_second_lvl_yds_total,off_open_field_yds,off_open_field_yds_total,off_pts_per_opp,off_field_pos_avg_start,off_field_pos_avg_predicted_points,off_havoc_total,off_havoc_front_seven,off_havoc_db,off_standard_downs_rate,off_standard_downs_ppa,off_standard_downs_success_rate,off_standard_downs_explosiveness,off_passing_downs_rate,off_passing_downs_ppa,off_passing_downs_success_rate,off_passing_downs_explosiveness,off_rushing_plays_rate,off_rushing_plays_ppa,off_rushing_plays_total_ppa,off_rushing_plays_success_rate,off_rushing_plays_explosiveness,off_passing_plays_rate,off_passing_plays_ppa,off_passing_plays_total_ppa,off_passing_plays_success_rate,off_passing_plays_explosiveness,def_plays,def_drives,def_ppa,def_total_ppa,def_success_rate,def_explosiveness,def_power_success,def_stuff_rate,def_line_yds,def_line_yds_total,def_second_lvl_yds,def_second_lvl_yds_total,def_open_field_yds,def_open_field_yds_total,def_pts_per_opp,def_field_pos_avg_start,def_field_pos_avg_predicted_points,def_havoc_total,def_havoc_front_seven,def_havoc_db,def_standard_downs_rate,def_standard_downs_ppa,def_standard_downs_success_rate,def_standard_downs_explosiveness,def_passing_downs_rate,def_passing_downs_ppa,def_passing_downs_total_ppa,def_passing_downs_success_rate,def_passing_downs_explosiveness,def_rushing_plays_rate,def_rushing_plays_ppa,def_rushing_plays_total_ppa,def_rushing_plays_success_rate,def_rushing_plays_explosiveness,def_passing_plays_rate,def_passing_plays_ppa,def_passing_plays_success_rate,def_passing_plays_explosiveness
Ball State,44.58,74.74,70.68,0.09,699,655,640,0.09,607,706,618,72.00,797.60,-48.60,2.30,2.89,1.71,0.82,1.94,5.51,"1,041.65",524.29,520.76,2.01,2.99,1.17,0.60,1.73,5.24,810.82,542.13,274.00,4938,871,2.30,"1,041.65",4.75,13.70,7.77,2.08,32.89,8987,12.26,3233,14.62,3983,41.43,764.80,15.81,1.87,1.23,0.64,7.62,1.56,5.26,11.49,3.38,4.00,3.57,21.46,6.33,1.71,520.76,4.72,11.59,4.66,2.89,524.29,4.65,16.66,4680,875,2.01,810.82,4.71,13.59,7.64,2.12,31.61,"7,168.00",11.69,2673,13.12,3021,40.54,770,-15.52,1.90,1.24,0.66,7.53,1.05,5.22,11.00,3.47,4.00,542.13,3.54,21.75,5.86,1.17,274.00,4.60,10.88,5.13,2.99,4.81,16.63
Baylor,44.57,72.55,73.19,0.08,720,683,766,0.08,515,583,524,71.50,900.50,89.40,2.17,2.75,1.65,0.62,2.65,4.91,"1,643.43","1,030.23",622.46,1.71,2.42,1.03,0.08,1.88,4.58,"1,282.50",894.60,395.35,8093,1515,2.17,"1,643.43",4.73,13.66,7.53,2.39,31.10,11590,12.49,4659,17.35,6483,41.20,769.30,15.55,1.92,1.24,0.68,7.53,1.51,5.26,11.55,3.47,3.60,3.55,20.46,5.56,1.65,622.46,4.70,11.87,5.43,2.75,"1,030.23",4.76,15.62,8135,1507,1.71,"1,282.50",4.50,13.37,7.62,2.38,30.03,"11,231.00",11.18,4163,14.37,5300,37.94,777,-14.89,1.92,1.20,0.72,7.45,1.09,5.07,11.09,3.55,3.02,894.60,3.28,20.77,5.51,1.03,395.35,4.40,11.12,5.48,2.42,4.57,15.64
Boise State,46.34,79.02,75.52,0.09,897,872,693,0.09,568,659,734,73.00,879.30,-54.00,2.30,2.90,1.75,0.45,2.43,6.23,"1,395.10",856.65,542.21,1.95,2.84,1.14,0.04,2.03,5.48,"1,004.98",716.89,291.10,6532,1155,2.30,"1,395.10",5.06,15.15,8.39,2.49,34.34,10137,12.94,3829,17.22,5063,42.46,836.90,17.11,1.86,1.26,0.60,8.23,1.42,5.65,12.48,3.77,4.24,3.78,23.78,6.56,1.75,542.21,5.11,12.61,5.44,2.90,856.65,4.95,18.39,6330,1148,1.95,"1,004.98",4.97,14.62,8.26,2.44,33.49,"9,045.00",12.22,3306,14.78,3927,41.67,852,-15.93,1.99,1.39,0.60,8.14,0.92,5.50,11.94,3.86,4.16,716.89,3.84,22.87,6.16,1.14,291.10,4.96,11.94,5.83,2.84,4.98,17.59
Boston College,35.78,65.54,63.50,0.08,790,746,734,0.08,845,823,565,61.50,838.70,25.40,1.75,2.23,1.25,0.07,1.63,5.12,"1,329.76",821.17,514.54,2.53,3.15,2.00,0.71,2.61,6.22,"1,620.43",972.73,653.78,7253,1335,1.75,"1,329.76",4.53,13.60,7.44,2.30,30.95,10488,12.48,4320,14.57,5226,36.77,785.60,14.17,1.97,1.33,0.64,7.36,0.86,5.07,11.07,3.64,3.47,3.41,21.19,5.56,1.25,514.54,4.57,11.12,5.43,2.23,821.17,4.46,16.11,7493,1330,2.53,"1,620.43",4.90,13.96,8.24,2.25,32.70,"11,605.00",13.76,4833,17.00,5821,41.93,770,-15.42,1.89,1.27,0.62,7.54,1.65,5.43,11.43,3.46,4.43,972.73,3.75,21.93,5.86,2.00,653.78,5.01,11.43,5.13,3.15,4.77,17.16
Bowling Green,43.88,67.17,61.17,0.09,669,668,676,0.08,895,782,906,62.50,768.50,-74.10,2.38,3.06,1.76,0.99,1.33,6.35,942.68,551.39,394.69,2.51,3.10,2.00,1.40,2.55,4.98,"1,044.16",597.54,448.23,4628,808,2.38,942.68,4.79,13.94,7.97,2.10,32.80,7373,12.93,2862,14.46,3191,41.90,771.10,15.38,1.89,1.24,0.65,7.54,1.49,5.27,11.50,3.46,4.38,3.74,21.61,5.97,1.76,394.69,4.67,11.64,5.02,3.06,551.39,4.91,16.48,4519,802,2.51,"1,044.16",5.02,13.37,7.92,1.89,33.91,"7,597.00",12.77,2873,15.88,3468,41.64,771,-15.40,1.68,1.02,0.66,7.73,1.97,5.55,11.46,3.27,3.66,597.54,3.67,20.23,6.05,2.00,448.23,4.95,11.16,4.95,3.10,5.08,15.94
Buffalo,42.16,60.31,61.02,0.08,550,621,525,0.09,757,801,647,57.50,735.80,-79.90,2.18,2.77,1.78,1.18,1.29,5.45,917.90,496.51,423.18,2.29,2.68,1.90,0.71,2.63,5.24,879.69,445.24,436.06,3988,697,2.18,917.90,4.47,12.31,7.26,1.80,31.31,7128,12.51,2816,12.96,2870,36.60,695.20,14.43,1.72,1.12,0.60,7.00,1.53,4.98,10.24,3.00,3.93,3.29,20.05,5.63,1.78,423.18,4.48,10.38,4.36,2.77,496.51,4.43,14.98,3940,694,2.29,879.69,4.46,12.72,7.04,1.87,30.44,"6,521.00",11.96,2629,16.04,3455,39.55,693,-14.49,1.72,1.14,0.59,6.95,1.48,4.85,10.78,3.05,4.09,445.24,3.55,18.82,5.52,1.90,436.06,4.39,10.89,4.48,2.68,4.51,14.91
BYU,42.76,67.43,67.60,0.08,728,781,777,0.09,703,775,676,66.00,857.50,45.30,1.64,1.64,1.47,0.17,1.61,4.79,766.93,380.21,388.45,2.26,3.04,1.59,0.72,1.66,6.09,"1,021.84",656.80,370.57,5218,954,1.64,766.93,4.67,13.02,7.83,2.31,31.26,7802,12.42,2975,15.94,3758,37.77,771.00,15.42,1.88,1.22,0.66,7.53,1.24,5.31,11.17,3.47,2.47,3.27,19.52,5.49,1.47,388.45,4.79,11.15,5.51,1.64,380.21,4.48,15.03,5309,966,2.26,"1,021.84",4.76,13.53,7.72,2.35,31.13,"7,679.00",12.94,3110,16.48,3942,41.07,774,-15.23,1.83,1.19,0.64,7.47,1.59,5.34,11.55,3.53,3.77,656.80,3.51,20.15,5.62,1.59,370.57,4.75,11.42,5.37,3.04,4.76,15.86
California,46.54,70.72,72.66,0.09,502,696,631,0.09,859,771,837,69.50,907.20,105.80,2.39,2.94,1.81,0.92,1.86,6.29,"1,072.08",660.57,416.91,2.38,3.02,1.80,0.81,2.12,6.14,978.80,600.98,377.82,4891,870,2.39,"1,072.08",4.97,13.15,7.58,2.33,31.93,7056,12.85,2849,16.75,3855,39.46,778.70,14.85,1.75,1.09,0.65,7.69,1.67,5.48,11.13,3.31,4.08,3.77,19.94,5.40,1.81,416.91,5.03,11.14,5.59,2.94,660.57,4.86,15.26,4888,874,2.38,978.80,4.88,13.55,7.58,2.20,32.56,"7,219.00",12.76,2783,17.70,3932,41.29,778,-14.94,1.72,1.11,0.61,7.64,1.62,5.43,11.22,3.36,4.06,600.98,3.61,21.37,5.61,1.80,377.82,4.98,11.35,5.39,3.02,4.77,16.01
Central Michigan,48.02,71.24,65.48,0.09,597,624,572,0.09,822,865,643,68.50,795.20,-56.80,2.49,3.55,1.50,1.26,1.45,6.00,"1,014.11",726.34,291.17,2.35,2.98,1.72,1.12,2.51,4.62,"1,006.22",612.70,395.13,4621,802,2.49,"1,014.11",4.88,13.87,7.71,2.05,32.89,6951,12.44,2568,12.76,2507,42.28,757.20,16.38,1.90,1.24,0.67,7.63,1.54,5.35,11.42,3.37,4.80,3.81,21.96,5.76,1.50,291.17,4.79,10.88,5.23,3.55,726.34,4.95,17.01,4444,809,2.35,"1,006.22",4.96,13.41,7.61,2.12,32.48,"6,882.00",12.57,2716,16.23,3419,43.17,779,-14.70,1.95,1.22,0.73,7.71,1.58,5.45,11.35,3.29,4.06,612.70,3.72,20.48,5.81,1.72,395.13,4.94,11.07,5.18,2.98,4.95,15.95
Charlotte,41.90,60.53,56.10,0.08,917,755,808,0.08,597,662,690,55.00,729.80,-102.00,1.20,1.27,1.17,-0.30,0.96,4.36,731.11,357.35,375.44,1.80,2.11,1.54,0.45,1.30,5.33,"1,111.81",576.91,536.82,5907,1061,1.20,731.11,4.02,11.98,7.35,1.93,28.78,8864,10.05,3138,12.04,3670,34.73,697.80,14.09,1.80,1.18,0.62,6.75,0.53,4.45,9.93,3.25,2.57,3.11,18.15,5.28,1.17,375.44,4.15,9.99,4.72,1.27,357.35,3.87,14.53,5992,1072,1.80,"1,111.81",4.33,11.92,7.12,1.82,30.24,"9,851.00",11.16,3626,14.76,4842,35.91,712,-13.42,1.63,1.06,0.57,6.92,1.15,4.75,9.87,3.08,3.25,576.91,3.36,18.36,5.43,1.54,536.82,4.36,9.91,4.57,2.11,4.27,14.35
Cincinnati,36.92,63.17,61.15,0.08,864,689,630,0.08,607,846,556,62.00,821.30,-5.20,1.85,2.56,1.20,0.30,1.39,5.54,"1,225.37",757.34,475.56,2.05,3.06,1.23,0.46,2.00,5.39,"1,239.86",836.01,418.22,6863,1223,1.85,"1,225.37",4.53,13.65,8.25,2.12,31.85,10769,11.76,3990,13.24,4697,39.77,776.40,15.14,1.99,1.27,0.72,7.38,1.14,5.10,11.05,3.62,3.30,3.38,21.71,5.84,1.20,475.56,4.53,10.80,5.15,2.56,757.34,4.51,17.11,6697,1218,2.05,"1,239.86",4.68,13.71,7.75,2.16,31.83,"10,234.00",12.13,3943,14.03,4617,42.14,779,-14.96,2.04,1.32,0.72,7.43,1.11,5.18,11.16,3.57,3.97,836.01,3.61,21.43,5.86,1.23,418.22,4.53,11.05,5.13,3.06,4.83,16.82
Clemson,34.69,61.87,61.12,0.08,725,668,853,0.07,723,658,611,60.50,798.30,51.90,1.71,2.00,1.38,0.04,1.49,5.37,"1,207.66",727.47,492.84,2.02,2.72,1.37,0.35,2.29,5.10,"1,458.06",944.38,522.10,7023,1276,1.71,"1,207.66",4.18,12.46,7.26,2.18,28.07,9757,11.54,4030,13.59,4768,35.46,707.50,13.36,1.89,1.24,0.65,6.67,0.82,4.68,9.97,3.33,3.51,3.18,19.85,4.96,1.38,492.84,4.35,10.05,5.04,2.00,727.47,3.98,15.02,7293,1280,2.02,"1,458.06",4.42,12.18,7.47,2.04,28.57,"10,752.00",11.43,4317,13.25,5041,36.74,700,-14.02,1.68,1.09,0.59,6.87,1.25,4.90,9.99,3.13,3.69,944.38,3.34,19.21,5.13,1.37,522.10,4.44,9.83,4.86,2.72,4.37,14.82
Coastal Carolina,33.23,54.33,51.13,0.08,830,758,585,0.08,783,701,569,50.00,719.50,-92.00,1.60,1.99,1.06,-0.23,1.67,5.03,"1,201.88",700.60,504.80,2.31,2.88,1.83,0.60,2.09,6.05,"1,546.79",918.59,637.33,7487,1362,1.60,"1,201.88",4.45,13.30,7.02,2.28,30.88,11307,11.26,4146,13.68,5285,37.20,789.40,14.11,1.90,1.23,0.68,7.40,0.84,4.98,11.17,3.60,3.08,3.34,19.78,5.73,1.06,504.80,4.35,11.23,5.27,1.99,700.60,4.50,15.33,7684,1349,2.31,"1,546.79",4.85,13.67,7.38,2.15,32.67,"12,063.00",12.48,4539,16.01,5704,40.19,758,-16.42,1.78,1.12,0.67,7.63,1.64,5.36,11.46,3.37,3.79,918.59,3.68,20.94,5.91,1.83,637.33,4.83,11.38,5.08,2.88,4.84,16.46
Colorado,56.94,84.12,84.08,0.08,445,550,628,0.09,949,706,813,80.50,953.40,154.80,2.41,2.99,1.85,0.90,2.03,6.41,"1,035.08",604.17,432.55,2.20,2.76,1.72,1.17,1.43,5.78,884.19,528.55,359.62,4566,786,2.41,"1,035.08",5.02,12.91,7.80,2.24,32.77,7252,13.31,2959,17.31,3778,41.54,771.90,15.29,1.71,1.07,0.65,7.71,1.75,5.56,10.86,3.29,3.97,3.77,20.11,5.79,1.85,432.55,5.18,10.68,5.20,2.99,604.17,4.82,15.58,4466,785,2.20,884.19,5.03,12.59,7.84,2.18,32.74,"6,669.00",12.80,2575,16.18,3324,40.23,776,-14.97,1.70,1.03,0.67,7.75,1.77,5.65,10.84,3.25,3.26,528.55,3.52,19.56,5.59,1.72,359.62,5.13,10.61,5.41,2.76,4.92,14.80
Colorado State,49.15,77.54,71.92,0.09,798,912,642,0.09,638,507,858,71.50,819.00,-45.30,2.01,2.47,1.50,0.48,1.57,5.45,990.70,597.60,397.52,1.99,2.63,1.40,0.51,1.93,4.93,984.69,631.45,361.95,5383,961,2.01,990.70,4.69,13.28,7.64,2.23,31.57,8017,11.99,3037,14.16,3552,36.35,755.10,16.46,1.71,1.16,0.55,7.59,1.26,5.24,11.09,3.41,3.69,3.45,20.68,5.79,1.50,397.52,4.77,10.97,5.21,2.47,597.60,4.53,15.97,5436,973,1.99,984.69,4.74,13.20,7.43,2.11,32.45,"8,134.00",11.58,2906,13.68,3457,36.20,765,-15.81,1.69,1.13,0.56,7.61,1.23,5.25,10.96,3.39,3.75,631.45,3.56,20.80,5.61,1.40,361.95,4.73,10.86,5.39,2.63,4.72,15.82
Duke,41.60,69.90,70.19,0.08,753,516,803,0.07,683,710,578,69.00,868.20,54.80,2.14,2.78,1.58,0.59,1.86,5.38,"1,565.37",949.85,629.44,2.12,2.48,1.78,0.48,2.36,5.39,"1,457.06",839.49,617.57,7720,1384,2.14,"1,565.37",4.66,13.99,7.59,2.38,31.15,11517,12.83,4807,15.86,6055,42.79,785.50,14.38,1.99,1.33,0.66,7.46,1.36,5.20,11.53,3.54,3.71,3.51,21.67,5.76,1.58,629.44,4.65,11.80,5.23,2.78,949.85,4.67,16.51,7602,1375,2.12,"1,457.06",4.75,13.80,7.98,2.25,32.05,"11,101.00",13.21,4590,16.94,5819,39.37,772,-15.18,1.90,1.22,0.68,7.51,1.35,5.28,11.37,3.49,3.74,839.49,3.58,21.44,5.56,1.78,617.57,4.90,11.24,5.44,2.48,4.61,16.49
East Carolina,44.35,69.60,71.45,0.08,712,570,747,0.08,620,722,741,70.50,820.50,6.10,2.08,2.45,1.74,0.53,2.00,5.34,"1,498.86",818.46,686.01,2.08,2.89,1.43,0.43,1.92,5.62,"1,377.47",871.32,514.15,7577,1328,2.08,"1,498.86",4.74,13.50,8.03,2.05,33.03,12489,12.38,4696,15.06,5820,41.27,773.90,15.24,1.84,1.21,0.63,7.51,1.35,5.27,11.19,3.49,3.65,3.60,20.80,5.99,1.74,686.01,4.77,11.17,5.01,2.45,818.46,4.67,16.58,7525,1328,2.08,"1,377.47",4.70,13.64,8.25,2.08,32.02,"11,632.00",11.68,4237,12.66,4590,39.31,773,-15.28,1.83,1.18,0.65,7.48,1.22,5.26,10.88,3.52,3.90,871.32,3.50,22.51,5.90,1.43,514.15,4.74,10.74,5.09,2.89,4.65,17.22
Eastern Michigan,43.23,64.44,62.20,0.09,777,856,602,0.09,746,722,600,60.50,745.40,-76.60,1.77,2.38,1.21,0.88,1.07,4.79,719.35,439.14,282.00,2.23,3.14,1.32,0.80,2.26,5.51,940.85,624.13,320.11,4318,801,1.77,719.35,4.58,13.64,7.34,2.14,32.30,6752,12.39,2598,12.98,2712,34.62,762.90,16.00,2.01,1.31,0.71,7.53,1.14,5.15,11.33,3.47,3.19,3.33,21.56,5.91,1.21,282.00,4.62,10.97,5.09,2.38,439.14,4.48,16.90,4448,803,2.23,940.85,4.83,13.73,7.22,2.25,31.48,"6,791.00",12.07,2634,15.89,3434,40.57,773,-15.29,1.93,1.26,0.68,7.56,1.21,5.25,11.32,3.44,4.46,624.13,3.86,20.77,5.81,1.32,320.11,4.69,10.93,5.18,3.14,4.93,16.69
Florida,39.02,69.00,69.75,0.08,745,917,709,0.07,974,768,883,72.50,858.40,53.50,1.88,1.93,1.75,0.70,1.47,4.66,"1,340.95",730.60,615.03,2.36,3.07,1.70,0.92,2.41,5.41,"1,519.33",965.50,557.94,7304,1269,1.88,"1,340.95",4.80,12.82,7.95,2.08,32.77,11193,12.24,4173,13.84,4718,36.95,785.60,14.21,1.92,1.23,0.69,7.62,1.23,5.38,10.66,3.38,3.41,3.47,20.51,5.64,1.75,615.03,5.00,10.42,5.36,1.93,730.60,4.54,15.51,7265,1271,2.36,"1,519.33",5.11,12.73,7.98,2.07,33.03,"10,958.00",12.24,4048,13.54,4369,40.95,778,-14.88,1.74,1.10,0.64,7.79,1.66,5.64,10.59,3.21,4.09,965.50,3.79,20.55,5.56,1.70,557.94,5.11,10.28,5.44,3.07,5.09,15.37
Florida Atlantic,41.99,63.13,64.55,0.08,675,566,473,0.08,543,655,692,61.00,729.10,-85.80,1.80,2.20,1.43,0.46,1.58,5.22,"1,118.56",610.80,509.44,1.68,2.07,1.33,0.20,1.39,5.08,990.52,561.97,428.55,5949,1052,1.80,"1,118.56",4.31,11.83,7.48,1.75,30.59,10357,10.55,3570,12.56,4218,37.55,713.80,13.07,1.58,0.97,0.61,6.97,1.18,4.78,9.81,3.03,3.13,3.20,18.61,5.72,1.43,509.44,4.34,9.79,4.28,2.20,610.80,4.22,14.57,5981,1053,1.68,990.52,4.25,11.95,7.23,1.83,29.19,"9,181.00",10.69,3365,12.68,3860,36.02,707,-13.57,1.59,0.98,0.61,6.85,0.87,4.68,9.72,3.15,3.52,561.97,3.32,18.93,5.33,1.33,428.55,4.31,9.79,4.67,2.07,4.18,14.45
Florida International,40.88,59.77,61.11,0.09,740,700,584,0.08,700,730,724,58.00,724.20,-98.70,1.63,1.79,1.51,0.49,1.62,4.54,"1,045.02",551.90,502.20,2.04,2.65,1.52,0.62,1.51,6.24,"1,387.58",807.27,582.09,6315,1134,1.63,"1,045.02",4.24,12.14,7.00,1.87,29.62,9615,11.06,3588,13.77,4370,35.49,708.60,13.41,1.70,1.09,0.61,6.81,1.15,4.73,10.31,3.19,2.64,3.18,18.13,5.14,1.51,502.20,4.36,10.32,4.85,1.79,551.90,4.10,14.45,6589,1138,2.04,"1,387.58",4.42,12.20,7.18,1.77,30.36,"10,970.00",10.76,3893,13.87,5011,37.29,702,-14.07,1.50,0.96,0.54,6.97,1.24,4.85,9.76,3.03,3.87,807.27,3.43,19.96,5.42,1.52,582.09,4.44,9.91,4.58,2.65,4.39,14.92
Florida State,43.53,80.96,80.92,0.08,644,528,495,0.08,714,697,428,79.50,898.90,98.20,2.31,3.30,1.24,0.37,2.30,6.33,"1,919.63","1,368.99",554.67,2.18,2.65,1.75,0.61,2.05,5.53,"1,525.68",934.97,601.73,8037,1435,2.31,"1,919.63",4.71,14.00,7.89,2.24,31.09,11259,12.35,4560,14.87,5730,40.17,786.50,14.26,1.92,1.27,0.65,7.45,1.25,5.18,11.32,3.55,4.50,3.73,21.86,5.34,1.24,554.67,4.61,10.89,5.66,3.30,"1,368.99",4.80,16.83,8070,1434,2.18,"1,525.68",4.77,13.86,8.05,2.38,31.51,"11,665.00",13.63,4971,17.25,6099,39.56,785,-14.34,1.99,1.32,0.67,7.45,1.35,5.33,11.35,3.55,3.89,934.97,3.59,21.61,5.63,1.75,601.73,4.87,11.40,5.37,2.65,4.65,16.65
Fresno State,46.21,69.24,68.90,0.08,742,807,725,0.08,559,476,716,66.50,754.20,-9.10,1.95,2.37,1.47,0.53,1.77,5.09,983.40,612.68,374.46,1.73,1.95,1.49,0.27,1.62,4.57,866.98,478.71,388.27,5018,898,1.95,983.40,4.25,12.50,6.81,2.09,28.79,7319,11.43,2916,14.39,3709,33.75,688.30,14.77,1.67,1.15,0.52,6.84,1.24,4.76,10.33,3.16,3.54,3.15,19.68,5.12,1.47,374.46,4.35,10.51,4.88,2.37,612.68,4.10,14.71,5126,919,1.73,866.98,4.21,12.24,6.76,2.07,28.81,"7,430.00",10.72,2762,13.15,3384,33.23,678,-15.49,1.60,1.09,0.51,6.81,1.08,4.73,10.02,3.19,3.10,478.71,3.09,19.54,5.05,1.49,388.27,4.34,10.40,4.95,1.95,4.06,14.36
Georgia,43.44,75.58,74.06,0.07,576,727,641,0.08,915,794,888,71.50,883.70,75.80,2.09,2.54,1.58,1.00,1.59,4.89,"1,531.21",958.77,581.38,2.32,3.03,1.65,0.83,2.01,5.71,"1,641.77","1,051.98",589.79,7697,1359,2.09,"1,531.21",4.89,12.73,7.81,2.10,32.59,11655,12.16,4361,13.42,4869,39.50,797.20,13.45,1.81,1.17,0.64,7.67,1.45,5.48,10.59,3.33,3.54,3.54,20.40,5.66,1.58,581.38,4.96,10.23,5.34,2.54,958.77,4.77,15.47,7900,1357,2.32,"1,641.77",4.99,13.00,8.24,2.07,33.48,"12,221.00",12.47,4529,13.66,4822,41.55,784,-14.34,1.72,1.09,0.64,7.71,1.53,5.51,10.80,3.29,4.19,"1,051.98",3.77,20.66,5.59,1.65,589.79,5.04,10.26,5.41,3.03,4.94,15.99
Georgia Southern,46.17,76.07,74.07,0.08,586,561,632,0.09,706,587,680,71.50,823.80,7.30,2.47,3.33,1.67,0.70,2.23,6.53,"1,890.25","1,209.89",688.50,1.72,2.20,1.26,-0.01,1.75,5.48,"1,358.59",846.73,519.27,8248,1446,2.47,"1,890.25",4.92,13.73,7.53,2.16,32.80,12922,12.46,4928,14.57,5820,42.68,777.50,14.98,1.80,1.16,0.64,7.60,1.71,5.39,11.53,3.40,4.19,3.88,20.58,5.75,1.67,688.50,4.84,10.90,5.24,3.33,"1,209.89",4.96,16.82,8466,1456,1.72,"1,358.59",4.73,13.01,7.56,2.05,32.74,"13,041.00",11.53,4583,12.85,5060,38.12,790,-14.07,1.79,1.11,0.68,7.62,0.98,5.20,10.90,3.38,3.39,846.73,3.66,19.69,5.67,1.26,519.27,4.68,10.78,5.32,2.20,4.77,15.35
Georgia State,45.28,78.56,82.77,0.09,647,553,464,0.09,802,763,645,78.50,878.00,11.00,2.56,3.09,1.92,1.05,2.32,6.18,"1,996.51","1,071.71",930.59,2.17,2.72,1.75,0.24,1.82,6.83,"1,621.94",930.79,702.20,8999,1567,2.56,"1,996.51",5.34,14.52,8.42,2.19,36.47,15610,13.79,5866,16.60,7303,47.29,851.40,16.14,1.85,1.17,0.67,8.41,2.00,5.91,12.38,3.59,3.94,4.01,22.09,6.67,1.92,930.59,5.31,11.99,5.33,3.09,"1,071.71",5.22,17.71,9037,1569,2.17,"1,621.94",5.22,14.47,8.32,2.25,35.48,"14,160.00",13.11,5214,15.18,5870,43.38,852,-15.98,1.91,1.19,0.72,8.30,1.25,5.77,11.93,3.70,4.27,930.79,3.97,22.69,6.37,1.75,702.20,5.26,12.17,5.62,2.72,5.15,17.31
Georgia Tech,45.72,82.54,83.57,0.07,563,561,591,0.08,618,606,465,85.00,920.30,116.00,2.47,3.13,1.80,0.95,2.36,5.68,"1,900.49","1,194.94",715.78,2.06,2.71,1.43,0.49,2.38,4.53,"1,430.08",934.26,508.38,8189,1442,2.47,"1,900.49",4.92,13.75,8.17,2.11,32.23,12099,12.86,4883,15.78,6213,42.26,771.40,15.28,1.87,1.19,0.69,7.63,1.73,5.44,11.50,3.37,4.10,3.71,21.20,5.48,1.80,715.78,5.02,10.93,5.51,3.13,"1,194.94",4.79,16.84,7764,1446,2.06,"1,430.08",4.64,14.16,8.20,2.34,30.56,"10,493.00",12.44,4283,16.08,5559,38.35,785,-14.27,2.07,1.37,0.70,7.36,1.17,5.17,11.63,3.64,3.89,934.26,3.56,21.60,5.35,1.43,508.38,4.65,11.25,5.65,2.71,4.61,17.09
Hawai'i,41.47,63.38,62.96,0.09,783,807,709,0.09,592,581,679,60.50,811.40,-97.70,1.64,1.84,1.38,0.32,1.46,4.62,816.34,489.60,330.46,1.82,2.11,1.57,0.31,1.65,4.89,829.27,451.72,379.63,4598,824,1.64,816.34,4.10,12.49,6.80,2.29,28.05,6518,11.27,2641,15.07,3535,33.91,692.50,14.46,1.68,1.13,0.54,6.77,0.99,4.65,10.42,3.23,3.05,2.96,19.23,5.06,1.38,330.46,4.20,10.71,4.94,1.84,489.60,3.95,14.43,4647,822,1.82,829.27,4.25,12.20,6.87,2.06,28.34,"6,709.00",10.94,2587,14.02,3315,34.72,693,-14.55,1.61,1.15,0.46,6.83,1.04,4.70,10.04,3.17,3.49,451.72,3.26,18.99,5.10,1.57,379.63,4.34,10.51,4.89,2.11,4.16,14.13
Houston,33.65,53.35,51.15,0.07,788,747,811,0.08,607,757,742,49.50,719.10,-34.20,1.50,2.10,1.02,0.23,1.43,4.14,"1,009.71",637.40,383.93,1.94,2.77,1.28,0.65,1.84,4.70,"1,259.06",821.39,441.37,6368,1156,1.50,"1,009.71",4.16,11.96,7.17,1.97,28.75,9637,10.48,3566,11.97,4149,34.38,699.80,14.10,1.81,1.18,0.63,6.80,0.97,4.67,9.91,3.20,2.60,3.06,18.64,5.28,1.02,383.93,4.14,9.69,4.71,2.10,637.40,4.15,14.89,6404,1148,1.94,"1,259.06",4.30,12.23,7.10,1.91,29.34,"10,090.00",10.86,3736,12.58,4367,37.75,694,-14.60,1.63,1.08,0.56,6.87,1.26,4.79,9.95,3.13,3.45,821.39,3.23,19.67,5.47,1.28,441.37,4.23,10.07,4.53,2.77,4.38,14.90
