Team,TAN.CONF,TAN.WIN,SP.WIN,X2021.Off.TARP.Percentage,X2020.Off.Success.Rate.Rank,X2020.Off.Finishing.Drives,X2020.Off.Havoc,X2021.Def.TARP.Percentage,X2020.Def.Success.Rate.Rank,X2020.Def.Finishing.Drives,X2020.Def.Havoc,DK.Opener.Win.Totals,TAN,SP.Ratings,off_overall_EPA,off_passing_EPA,off_rushing_EPA,off_first_down_EPA,off_second_down_EPA,off_third_down_EPA,off_cumulative_total_EPA,off_cumulative_passing_EPA,off_cumulative_rushing_EPA,def_overall_EPA,def_passing_EPA,def_rushing_EPA,def_first_down_EPA,def_second_down_EPA,def_third_down_EPA,def_cumulative_total_EPA,def_cumulative_passing_EPA,def_cumulative_rushing_EPA,off_plays,off_drives,off_ppa,off_total_ppa,off_success_rate,off_explosiveness,off_power_success,off_stuff_rate,off_line_yds,off_line_yds_total,off_second_lvl_yds,off_second_lvl_yds_total,off_open_field_yds,off_open_field_yds_total,off_pts_per_opp,off_field_pos_avg_start,off_field_pos_avg_predicted_points,off_havoc_total,off_havoc_front_seven,off_havoc_db,off_standard_downs_rate,off_standard_downs_ppa,off_standard_downs_success_rate,off_standard_downs_explosiveness,off_passing_downs_rate,off_passing_downs_ppa,off_passing_downs_success_rate,off_passing_downs_explosiveness,off_rushing_plays_rate,off_rushing_plays_ppa,off_rushing_plays_total_ppa,off_rushing_plays_success_rate,off_rushing_plays_explosiveness,off_passing_plays_rate,off_passing_plays_ppa,off_passing_plays_total_ppa,off_passing_plays_success_rate,off_passing_plays_explosiveness,def_plays,def_drives,def_ppa,def_total_ppa,def_success_rate,def_explosiveness,def_power_success,def_stuff_rate,def_line_yds,def_line_yds_total,def_second_lvl_yds,def_second_lvl_yds_total,def_open_field_yds,def_open_field_yds_total,def_pts_per_opp,def_field_pos_avg_start,def_field_pos_avg_predicted_points,def_havoc_total,def_havoc_front_seven,def_havoc_db,def_standard_downs_rate,def_standard_downs_ppa,def_standard_downs_success_rate,def_standard_downs_explosiveness,def_passing_downs_rate,def_passing_downs_ppa,def_passing_downs_total_ppa,def_passing_downs_success_rate,def_passing_downs_explosiveness,def_rushing_plays_rate,def_rushing_plays_ppa,def_rushing_plays_total_ppa,def_rushing_plays_success_rate,def_rushing_plays_explosiveness,def_passing_plays_rate,def_passing_plays_ppa,def_passing_plays_success_rate,def_passing_plays_explosiveness
Air Force,37.42,65.74,63.83,0.08,1082,936,870,0.09,549,632,757,63.00,772.70,-78.90,1.40,1.36,1.35,-0.20,1.13,4.38,757.26,322.06,439.20,1.87,2.50,1.33,0.18,1.73,5.27,890.90,549.35,347.56,5468,979,1.40,757.26,4.30,13.62,7.84,2.31,30.89,9303,11.35,3295,14.65,4249,36.48,768.10,15.50,1.87,1.34,0.54,7.36,0.80,4.91,11.28,3.64,2.60,3.07,21.15,6.34,1.35,439.20,4.54,11.57,4.66,1.36,322.06,3.91,17.15,5449,990,1.87,890.90,4.58,13.46,7.30,2.36,31.09,"8,168.00",11.75,3085,15.58,4121,38.08,769,-15.62,1.81,1.29,0.52,7.46,1.03,5.13,10.96,3.54,3.63,549.35,3.39,21.58,5.79,1.33,347.56,4.52,11.51,5.20,2.50,4.63,15.74
Akron,50.59,72.81,69.28,0.08,545,578,457,0.08,706,784,619,68.50,795.70,-36.80,2.81,3.72,2.04,1.78,1.97,6.42,"1,168.10",669.73,501.32,2.25,2.75,1.64,0.91,2.13,5.34,940.44,566.40,374.05,4597,802,2.81,"1,168.10",4.98,14.02,7.96,1.83,34.94,8187,13.69,3180,15.63,3717,41.55,760.30,16.15,1.77,1.11,0.66,7.66,2.04,5.53,11.50,3.34,4.75,3.73,22.78,6.20,2.04,501.32,4.95,11.05,4.80,3.72,669.73,5.01,17.66,4547,809,2.25,940.44,4.81,13.67,7.73,2.03,32.97,"7,148.00",12.42,2725,14.85,3117,42.41,781,-14.60,1.96,1.27,0.69,7.60,1.56,5.30,11.65,3.40,3.75,566.40,3.69,20.22,5.82,1.64,374.05,4.72,11.15,5.18,2.75,4.84,16.48
Alabama,43.49,75.11,79.25,0.07,471,609,240,0.08,870,721,457,75.50,875.90,90.70,2.10,2.73,1.48,0.86,2.06,4.75,"1,561.43","1,035.99",529.39,2.16,2.70,1.63,1.08,1.71,5.00,"1,595.95",996.61,604.03,7341,1265,2.10,"1,561.43",4.54,11.77,7.23,1.83,30.39,10502,11.26,3912,10.65,3816,36.78,722.30,12.39,1.61,0.97,0.64,6.97,1.42,4.96,9.86,3.03,3.69,3.55,18.03,4.74,1.48,529.39,4.54,9.27,5.25,2.73,"1,035.99",4.55,14.14,7400,1255,2.16,"1,595.95",4.61,11.73,7.22,1.87,30.21,"11,061.00",11.44,4191,12.17,4450,37.80,720,-12.55,1.62,1.00,0.62,7.06,1.46,5.07,9.69,2.94,3.86,996.61,3.52,18.79,4.93,1.63,604.03,4.69,9.15,5.06,2.70,4.54,14.35
Appalachian State,48.64,74.23,70.92,0.09,684,626,434,0.09,719,658,474,66.50,808.20,-9.80,2.11,2.78,1.35,0.33,2.03,5.71,"1,603.30","1,005.66",603.44,1.95,2.54,1.44,0.30,1.79,5.34,"1,423.85",864.10,564.80,8130,1444,2.11,"1,603.30",4.76,13.38,7.61,2.11,32.29,12774,11.70,4617,13.35,5407,41.37,777.20,15.07,1.85,1.13,0.72,7.60,1.43,5.24,11.24,3.40,3.59,3.68,20.14,5.76,1.35,603.44,4.69,10.64,5.24,2.78,"1,005.66",4.78,16.25,8124,1442,1.95,"1,423.85",4.76,13.32,7.33,2.15,31.61,"12,170.00",11.87,4567,13.99,5318,39.08,771,-15.39,1.84,1.18,0.66,7.58,1.32,5.30,11.30,3.42,3.34,864.10,3.57,19.95,5.73,1.44,564.80,4.70,11.14,5.27,2.54,4.80,15.73
Arizona,52.70,81.63,85.00,0.08,522,576,726,0.08,714,618,595,80.50,929.50,138.00,2.37,3.11,1.68,0.74,2.14,6.57,"1,052.65",675.53,378.76,1.78,2.26,1.27,0.67,0.99,5.48,660.97,453.00,209.62,4574,819,2.37,"1,052.65",4.96,13.26,7.35,2.38,31.19,6930,12.88,2860,18.22,4053,41.90,767.20,15.72,1.75,1.14,0.61,7.67,1.71,5.49,11.23,3.33,3.91,3.74,20.27,5.80,1.68,378.76,4.98,11.27,5.20,3.11,675.53,4.89,15.72,4587,828,1.78,660.97,4.72,12.90,7.46,2.35,31.36,"6,156.00",12.49,2347,14.80,2679,38.88,781,-14.49,1.91,1.20,0.71,7.49,1.14,5.30,10.90,3.51,3.10,453.00,3.43,19.43,5.24,1.27,209.62,4.77,11.19,5.76,2.26,4.67,14.63
Arizona State,37.15,61.77,65.10,0.08,502,685,613,0.08,879,754,846,62.50,865.10,74.50,2.31,2.83,1.84,0.76,1.87,6.22,"1,088.82",669.75,420.72,2.48,3.04,1.94,0.93,2.34,6.58,964.49,572.18,392.30,4752,821,2.31,"1,088.82",4.98,13.03,7.68,2.28,32.25,6998,13.06,2849,16.07,3555,40.10,777.40,14.91,1.73,1.06,0.67,7.62,1.56,5.47,11.02,3.38,4.03,3.87,19.32,5.42,1.84,420.72,5.02,11.29,5.58,2.83,669.75,4.92,14.83,4589,822,2.48,964.49,4.93,13.49,7.71,2.14,33.30,"7,081.00",13.55,2781,18.40,3739,40.81,781,-14.71,1.72,1.10,0.61,7.63,1.77,5.47,11.35,3.37,4.10,572.18,3.68,20.74,5.59,1.94,392.30,5.05,11.43,5.41,3.04,4.77,15.88
Arkansas,51.57,83.03,85.67,0.07,507,634,339,0.08,708,573,477,85.00,925.50,135.70,2.45,3.29,1.62,0.96,2.59,5.78,"1,804.01","1,136.79",667.22,1.90,2.46,1.30,0.62,1.99,4.52,"1,323.43",893.47,445.42,7846,1357,2.45,"1,804.01",5.04,13.01,8.02,1.93,33.66,12285,12.06,4458,12.53,4939,41.63,773.70,15.04,1.64,0.99,0.65,7.85,1.65,5.51,10.76,3.15,4.44,3.87,21.06,5.59,1.62,667.22,5.13,10.00,5.41,3.29,"1,136.79",4.98,16.25,7654,1357,1.90,"1,323.43",4.79,12.87,7.56,2.18,31.61,"10,359.00",11.70,3877,11.45,3781,38.28,786,-14.10,1.90,1.13,0.77,7.60,1.19,5.29,10.71,3.40,3.50,893.47,3.67,19.89,5.23,1.30,445.42,4.79,10.18,5.76,2.46,4.77,15.46
Arkansas State,48.18,72.42,74.67,0.08,661,640,534,0.09,727,673,507,72.50,813.30,12.50,2.14,2.87,1.47,0.18,1.96,6.45,"1,520.57",874.93,651.63,1.92,2.26,1.66,0.26,1.55,5.61,"1,391.76",762.46,636.78,7806,1381,2.14,"1,520.57",4.79,13.25,7.61,2.14,32.18,12797,12.18,4822,14.17,5855,41.20,770.70,15.44,1.76,1.10,0.66,7.59,1.29,5.26,10.96,3.41,4.05,3.77,20.34,6.01,1.47,651.63,4.78,10.86,4.99,2.87,874.93,4.78,16.11,7949,1377,1.92,"1,391.76",4.78,12.94,7.44,2.04,33.30,"12,492.00",12.30,4616,12.85,4897,39.69,780,-14.82,1.80,1.12,0.68,7.58,1.26,5.30,10.84,3.42,3.34,762.46,3.60,19.69,5.75,1.66,636.78,4.86,10.94,5.25,2.26,4.67,15.37
Army,32.49,57.58,57.06,0.07,587,552,346,0.07,534,483,346,56.50,644.30,-21.60,1.55,2.25,1.03,0.11,0.96,5.05,883.52,478.60,406.96,1.46,2.02,0.85,0.09,1.86,3.99,710.88,458.48,252.40,4684,818,1.55,883.52,3.80,11.01,6.27,1.75,26.44,7960,9.69,2960,9.85,3223,30.94,631.30,12.58,1.60,1.04,0.57,6.20,0.80,4.21,8.88,2.80,3.20,2.88,17.87,5.12,1.03,406.96,3.80,8.89,3.88,2.25,478.60,3.79,13.77,4551,827,1.46,710.88,3.87,10.89,6.00,1.86,25.45,"6,580.00",9.84,2584,12.29,3152,31.27,642,-11.73,1.68,1.05,0.63,6.12,0.81,4.25,9.14,2.88,2.84,458.48,3.04,16.06,4.62,0.85,252.40,3.81,8.64,4.38,2.02,3.91,13.08
Auburn,46.19,76.59,78.83,0.07,555,623,538,0.08,822,708,554,79.50,903.90,116.70,2.26,2.81,1.77,0.63,2.06,5.82,"1,675.50","1,046.34",631.50,2.26,2.84,1.67,0.80,2.16,5.41,"1,442.67",911.83,537.87,7651,1331,2.26,"1,675.50",4.96,12.98,7.84,2.06,33.28,11424,12.24,4184,12.92,4451,41.78,780.10,14.57,1.79,1.09,0.70,7.75,1.37,5.34,10.88,3.25,4.42,4.02,19.96,5.44,1.77,631.50,5.01,10.66,5.56,2.81,"1,046.34",4.94,15.47,7468,1328,2.26,"1,442.67",4.92,13.20,7.99,2.01,33.04,"10,769.00",12.11,3932,13.61,4363,40.51,778,-14.78,1.79,1.08,0.70,7.67,1.50,5.44,10.91,3.33,4.06,911.83,3.71,21.12,5.36,1.67,537.87,4.94,10.46,5.63,2.84,4.86,15.95
