season,Team,conference,off_plays,off_drives,off_ppa,off_total_ppa,off_success_rate,off_explosiveness,off_power_success,off_stuff_rate,off_line_yds,off_line_yds_total,off_second_lvl_yds,off_second_lvl_yds_total,off_open_field_yds,off_open_field_yds_total,off_pts_per_opp,off_field_pos_avg_start,off_field_pos_avg_predicted_points,off_havoc_total,off_havoc_front_seven,off_havoc_db,off_standard_downs_rate,off_standard_downs_ppa,off_standard_downs_success_rate,off_standard_downs_explosiveness,off_passing_downs_rate,off_passing_downs_ppa,off_passing_downs_success_rate,off_passing_downs_explosiveness,off_rushing_plays_rate,off_rushing_plays_ppa,off_rushing_plays_total_ppa,off_rushing_plays_success_rate,off_rushing_plays_explosiveness,off_passing_plays_rate,off_passing_plays_ppa,off_passing_plays_total_ppa,off_passing_plays_success_rate,off_passing_plays_explosiveness,def_plays,def_drives,def_ppa,def_total_ppa,def_success_rate,def_explosiveness,def_power_success,def_stuff_rate,def_line_yds,def_line_yds_total,def_second_lvl_yds,def_second_lvl_yds_total,def_open_field_yds,def_open_field_yds_total,def_pts_per_opp,def_field_pos_avg_start,def_field_pos_avg_predicted_points,def_havoc_total,def_havoc_front_seven,def_havoc_db,def_standard_downs_rate,def_standard_downs_ppa,def_standard_downs_success_rate,def_standard_downs_explosiveness,def_passing_downs_rate,def_passing_downs_ppa,def_passing_downs_total_ppa,def_passing_downs_success_rate,def_passing_downs_explosiveness,def_rushing_plays_rate,def_rushing_plays_ppa,def_rushing_plays_total_ppa,def_rushing_plays_success_rate,def_rushing_plays_explosiveness,def_passing_plays_rate,def_passing_plays_ppa,def_passing_plays_success_rate,def_passing_plays_explosiveness,logo,color,alt_color,Conf,Div,Net.RP,X2021.Off.Adjust,X2021.Def.Adj,RP.Offense,RP.Defense,O.Pass,O.Recv,OL.Starts,OL.Played,O.Rush,D.Tackles,D.PD,D.INT,D.Sacks,D.TFL,TARP.O,TARP.D
2020,Ball State,Mid-American,544,88,0.2019041487,109.8358569,0.4669117647,1.146905604,0.65,0.1666666667,3.039215686,930,1.032679739,316,0.8660130719,265,3.745454545,66.1,1.706,0.1617647059,0.1011029412,0.06066176471,0.7205882353,0.08222640993,0.4974489796,0.8376553011,0.2794117647,0.510546738,0.3881578947,2.169004062,0.5625,0.1024977954,31.36432538,0.4509803922,0.8960486697,0.4375,0.3297123172,78.47153149,0.487394958,1.445338853,502,86,0.1369700953,68.75898782,0.4800796813,1.036478792,0.5454545455,0.2079646018,2.761504425,624,1.137168142,257,1.42920354,323,2.97826087,69.9,-1.374,0.2171314741,0.1394422311,0.07768924303,0.7370517928,0.09967805289,0.5378378378,0.9228013022,0.2629482072,0.2415008201,61.27078927,0.3181818182,1.575093565,0.4501992032,0.03313362186,7.488198541,0.4601769912,0.8415175871,0.5498007968,0.2219956133,0.4963768116,1.184478539,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,#DA0000,#ffffff,MAC,W,6,4,2,0.72,0.73,1.00,0.45,0.73,0.79,0.54,0.85,0.79,0.80,0.50,0.34,0.82,0.83
2020,Baylor,Big 12,626,114,0.05535386447,34.65151916,0.3530351438,1.232797063,0.8,0.2788104089,2.159851301,581,0.9776951673,263,0.6654275093,179,3.333333333,70.2,1.381,0.2044728435,0.1341853035,0.07028753994,0.6261980831,-0.04896474191,0.4056122449,0.9313114699,0.3738019169,0.2301098205,0.264957265,2.00596173,0.4297124601,-0.01450412812,-3.901610464,0.3494423792,0.9805399956,0.5702875399,0.1079919597,38.55312962,0.3557422969,1.419507019,621,117,0.1517126812,94.21357505,0.4186795491,1.151521563,0.6595744681,0.2063953488,2.902034884,998,1.069767442,368,1.456395349,501,4.166666667,69.5,-1.441,0.1714975845,0.11352657,0.05797101449,0.6795491143,0.06625593681,0.4620853081,0.9864861219,0.3204508857,0.3329325111,46.95485004,0.3266331658,1.646627886,0.5539452496,0.1426298085,49.06465411,0.4215116279,1.044444568,0.4444444444,0.1701262683,0.4130434783,1.313658536,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,#004834,#ffb81c,B12,,1.5,-1,2.5,0.49,0.74,0.01,0.94,0.45,0.59,0.53,0.82,0.59,0.83,0.76,0.82,0.59,0.75
2020,Boise State,Mountain West,450,81,0.1839139064,82.76125789,0.44,1.16972429,0.8387096774,0.2093023256,2.580465116,555,0.8,172,0.4976744186,107,4.024390244,68.5,1.516,0.1555555556,0.1088888889,0.04666666667,0.6711111111,0.1410971139,0.5066225166,0.9327294952,0.3288888889,0.2712833073,0.3040540541,1.975506592,0.4777777778,0.02588914558,5.5661663,0.4465116279,0.7678321137,0.5222222222,0.3284897514,77.19509159,0.4340425532,1.54797575,496,91,0.1811155661,89.83332076,0.3649193548,1.385413787,0.6666666667,0.2276119403,2.853731343,765,1.02238806,274,1.190298507,319,4.088888889,71.2,-1.306,0.1612903226,0.1149193548,0.04637096774,0.6330645161,0.09929268369,0.4267515924,1.109464961,0.3669354839,0.3222825169,59.23635442,0.2582417582,2.172161506,0.5403225806,0.1141677849,30.59696634,0.3694029851,1.118992733,0.4596774194,0.259808572,0.3596491228,1.707068474,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png,#09347A,#d8d9da,MW,M,9.5,6,3.5,0.83,0.80,1.00,0.73,0.76,0.71,1.00,0.78,0.76,1.00,0.89,0.81,0.83,0.80
2020,Boston College,ACC,680,112,0.2166168764,147.299476,0.4426470588,1.24057356,0.7857142857,0.1919191919,2.612457912,776,0.9124579125,271,0.7239057239,215,3.696969697,70.8,1.321,0.1735294118,0.1132352941,0.06029411765,0.6882352941,0.1201308255,0.4893162393,0.9690849841,0.3117647059,0.4296143851,0.3396226415,2.104058058,0.4367647059,0.04689530063,13.92790429,0.4343434343,0.8052731653,0.5632352941,0.3482286467,133.3715717,0.4490861619,1.567048856,672,114,0.2595759306,174.4350254,0.4791666667,1.228853328,0.75,0.1942028986,3.126956522,1079,1.385507246,478,1.855072464,640,3.746478873,71.1,-1.365,0.1636904762,0.1026785714,0.06101190476,0.712797619,0.2017936749,0.5281837161,1.021938815,0.287202381,0.4029837053,114.4676349,0.3575129534,1.987539876,0.5133928571,0.173818523,59.96739044,0.5014492754,0.9577559144,0.4866071429,0.3500539295,0.4556574924,1.54361744,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png,#88001a,#a39161,ACC,A,4.5,5,-0.5,0.77,0.61,1.00,0.89,0.48,0.48,0.45,0.54,0.73,0.89,0.46,0.49,0.77,0.81
2020,Bowling Green,Mid-American,311,62,0.04410661823,13.71715827,0.3954983923,1.090872696,0.8095238095,0.1629213483,3.152808989,561,1.162921348,207,1.466292135,261,1.666666667,71.2,1.286,0.1864951768,0.1028938907,0.08360128617,0.6591639871,0.1049021842,0.4926829268,0.9381843379,0.3408360129,-0.07346971225,0.2075471698,1.791851067,0.5723472669,0.1580270706,28.12881856,0.4662921348,0.8906510214,0.4276527331,-0.108358348,-14.41166029,0.3007518797,1.506332671,354,59,0.3529056409,124.9285969,0.4717514124,1.389621772,0.7037037037,0.1603375527,3.593248945,852,1.620253165,384,2.033755274,482,4.815789474,64.4,-1.788,0.1553672316,0.1242937853,0.03107344633,0.7118644068,0.2422778483,0.496031746,1.194927188,0.2881355932,0.6262213637,35.45552976,0.4117647059,1.969069939,0.6694915254,0.3775234899,89.4730671,0.4936708861,1.245451638,0.3305084746,0.3030387159,0.4273504274,1.726979886,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png,#2b1000,#492000,MAC,E,-0.5,4,-4.5,0.71,0.42,1.00,0.41,0.67,0.70,0.84,0.35,0.41,0.50,0.29,0.65,0.71,0.72
2020,Buffalo,Mid-American,458,86,0.3754181296,171.9415034,0.4825327511,1.3205577,0.8039215686,0.1324503311,3.396688742,1026,1.268211921,383,2.599337748,785,4.790697674,70.5,1.383,0.09388646288,0.04366812227,0.05021834061,0.7183406114,0.3166513491,0.5349544073,1.162465221,0.2816593886,0.5252961976,0.3488372093,1.93887495,0.6593886463,0.3483174276,105.1918631,0.4735099338,1.218804119,0.3406113537,0.4278823091,66.74964023,0.5,1.50710593,480,85,0.1153405544,55.3634661,0.40625,1.098462442,0.75,0.1274131274,3.391891892,879,1.104247104,286,0.5945945946,154,3.15,71.6,-1.288,0.1625,0.09583333333,0.06666666667,0.7,0.1199319733,0.4732142857,0.9539164384,0.3,0.1046272436,13.34056302,0.25,1.736873958,0.5395833333,0.162250591,42.02290308,0.4362934363,0.8753731748,0.4604166667,0.06036453855,0.371040724,1.405890335,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,#041A9B,#ebebeb,MAC,E,0.5,2,-1.5,0.61,0.56,1.00,0.26,0.49,0.47,1.00,0.67,0.35,0.67,0.70,0.68,0.71,0.60
2020,BYU,FBS Independents,794,134,0.4219474717,335.0262925,0.5340050378,1.340217638,0.6567164179,0.1871921182,3.139162562,1275,1.34729064,547,1.827586207,742,4.893617021,70.4,1.418,0.1196473552,0.07934508816,0.040302267,0.7355163728,0.355169898,0.5719178082,1.191443457,0.2644836272,0.6076527241,0.4285714286,1.892335156,0.5113350126,0.2805949315,113.9215422,0.5,1.147617958,0.4886649874,0.569857604,221.1047503,0.5695876289,1.517130467,784,136,0.08434229787,66.12436153,0.3775510204,1.169879565,0.7407407407,0.1580310881,2.887305699,1115,0.7538860104,291,0.5207253886,201,2.827586207,74.6,-1.036,0.1524234694,0.09119897959,0.0612244898,0.6645408163,0.005087712531,0.424184261,0.9394731815,0.3354591837,0.2413447274,78.29511965,0.2851711027,1.848810376,0.4923469388,-0.03153046144,-12.17075811,0.3575129534,0.8305468495,0.5076530612,0.1967214061,0.3969849246,1.466258773,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png,#001E4C,#ffffff,IND,,-2.5,-1,-1.5,0.49,0.56,0.07,0.68,0.66,0.63,0.83,0.55,0.55,0.63,0.48,0.57,0.49,0.32
2020,California,Pac-12,285,50,0.06413966325,18.27980403,0.3754385965,1.051691433,0.6,0.2575757576,2.675757576,353,0.946969697,125,1.128787879,149,3.904761905,74.2,1.089,0.1719298246,0.1228070175,0.04912280702,0.6807017544,-0.001943897488,0.4329896907,0.8617957461,0.3192982456,0.2050211004,0.2527472527,1.745223507,0.4631578947,0.09586787523,12.65455953,0.4242424242,0.8330363288,0.5368421053,0.0367663039,5.625244497,0.3333333333,1.291783312,251,48,0.1802792969,45.25010352,0.4860557769,1.03426124,0.7142857143,0.1843971631,3.109929078,439,0.9503546099,134,1.312056738,185,3.846153846,65.8,-1.633,0.1553784861,0.09163346614,0.06374501992,0.7529880478,0.1172411629,0.5396825397,0.8677345159,0.2470119522,0.3724439311,34.59443067,0.3225806452,1.883547535,0.561752988,0.07557214783,10.65567284,0.4609929078,0.843844178,0.438247012,0.3144948243,0.5181818182,1.251403504,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,#031522,#ffc423,P12,N,11,6,5,0.84,0.88,1.00,0.74,0.72,0.77,0.97,0.93,0.85,0.67,1.00,0.87,0.84,0.88
2020,Central Michigan,Mid-American,426,82,0.1711966504,72.92977308,0.4201877934,1.242733939,0.6428571429,0.1563786008,2.86872428,697,1.004115226,244,1.925925926,468,3.071428571,68.2,1.543,0.1572769953,0.1126760563,0.04460093897,0.7136150235,0.153132903,0.4934210526,1.043377753,0.2863849765,0.2162079555,0.237704918,2.273886622,0.5704225352,0.181061858,43.9980315,0.4444444444,1.116100889,0.4295774648,0.1580969485,28.93174158,0.3879781421,1.435358859,431,82,0.1756891791,75.72203619,0.4176334107,1.378447048,0.619047619,0.2276785714,2.575,577,1.004464286,225,0.9241071429,207,3.341463415,70.1,-1.45,0.1740139211,0.1183294664,0.05568445476,0.6658932715,-0.06335109641,0.4216027875,0.9191694624,0.3341067285,0.6521097282,71.94538777,0.4097222222,2.320355317,0.5197215777,0.02484604171,5.565513342,0.40625,0.920147585,0.4779582367,0.3492494552,0.427184466,1.888362538,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,#6a0032,#ffffff,MAC,W,9.5,7,2.5,0.91,0.76,1.00,0.78,0.95,0.90,1.04,0.72,0.94,1.00,0.53,0.46,0.91,0.76
2020,Charlotte,Conference USA,414,71,0.1327168131,54.94476063,0.3961352657,1.313837571,0.72,0.2,2.804090909,617,1.004545455,221,1.190909091,262,4.470588235,72.6,1.241,0.1980676329,0.1256038647,0.07246376812,0.6811594203,0.1380612028,0.4574468085,1.091109162,0.3188405797,0.1212992534,0.2651515152,2.134750847,0.5314009662,0.05539712167,12.18736677,0.3772727273,1.036186682,0.4685990338,0.2203989375,42.75739387,0.4175257732,1.598344037,381,70,0.2469307025,94.08059766,0.4829396325,1.193586208,0.6216216216,0.1800947867,3.166824645,668,1.170616114,247,2.113744076,446,3.975,69.7,-1.405,0.125984252,0.07086614173,0.05511811024,0.7296587927,0.1357742843,0.5251798561,0.9510255376,0.2703412073,0.546945113,48.24095077,0.3689320388,2.125529838,0.5538057743,0.2172495113,45.83964689,0.4928909953,1.0436423,0.4461942257,0.2837702986,0.4705882353,1.388513289,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,#0C562D,#cfab7a,CUS,E,0,3.5,-3.5,0.70,0.47,1.00,0.72,0.39,0.48,0.37,0.45,0.56,0.60,0.50,0.24,0.70,0.47
