,season,team,conference,off_plays,off_drives,off_total_ppa,successful_plays,off_success_rate,off_line_yds_total,off_second_lvl_yds_total,off_open_field_yds_total,off_havoc_plays,off_havoc_total,off_standard_downs,off_standard_downs_rate,off_standard_down_ppa_total,off_standard_down_success,off_standard_downs_success_rate,off_standard_downs_explosiveness,off_passing_downs,off_passing_downs_rate,off_passing_down_ppa,off_passing_down_successes,off_passing_downs_success_rate,off_passing_downs_explosiveness,off_rushing_plays,off_rushing_plays_rate,off_rushing_plays_total_ppa,successful_rushes,off_rushing_plays_success_rate,off_rushing_plays_explosiveness,off_passing_plays,off_passing_plays_rate,off_passing_plays_total_ppa,successful_passes,off_passing_plays_success_rate,off_passing_plays_explosiveness,def_plays,def_drives,def_total_ppa,def_successful_def_downs,def_success_rate,def_explosiveness,def_line_yds_total,def_second_lvl_yds_total,def_open_field_yds_total,def_havoc_plays,def_havoc_total,def_standard_downs,def_standard_downs_rate,def_standard_down_ppa_total,def_standard_down_successful_plays,def_standard_downs_success_rate,def_standard_downs_explosiveness,def_passing_downs,def_passing_downs_rate,def_passing_downs_total_ppa,def_passing_down_successes,def_passing_downs_success_rate,def_passing_downs_explosiveness,Def_rushing_plays,def_rushing_plays_rate,def_rushing_plays_total_ppa,def_successful_rushes,def_rushing_plays_success_rate,def_rushing_plays_explosiveness,def_passing_plays,def_passing_plays_rate,def_passing_plays_ppa,def_passing_successes,def_passing_plays_success_rate,def_passing_plays_explosiveness
95,2020,Syracuse,ACC,7575,1346,1661.482944,3335,0.4402640264,11102,4663,5852,1310.5,0.1730033003,5170,0.6825082508,752.5902819,2543,0.4918762089,11.47753671,2405,0.3174917492,908.8926626,792,0.3293139293,21.80195453,3850,0.5082508251,663.0757563,1738,0.4514285714,11.4858903,3720,0.4910891089,1012.859797,1592,0.4279569892,16.68148461,7421,1344,1364.444002,3170,0.4271661501,13.67930511,10702,4555,5394,1338,0.1802991511,4993,0.6728203746,534.411222,2386,0.4778690166,11.31059646,2428,0.3271796254,874.0591639,784,0.3228995058,20.80454202,3797,0.511656111,494.1944301,1643,0.4327100342,11.17457255,3622,0.4880743835,479.2669009,1525,0.4210381005,16.41930462
96,2020,TCU,Big 12,7508,1395,1335.749733,3163,0.4212839638,10181,4019,5319,1319,0.1756792754,5087,0.6775439531,560.1294382,2402,0.4721839984,10.97205164,2421,0.3224560469,775.6202949,761,0.3143329203,20.97578909,3711,0.4942727757,437.2526322,1555,0.4190245217,11.29633299,3793,0.5051944592,906.0796989,1604,0.4228842605,15.61508624,7375,1375,1188.003053,3069,0.4161355932,13.15226178,10265,3922,5094,1317,0.1785762712,5019,0.6805423729,535.9843019,2347,0.4676230325,11.05416807,2356,0.3194576271,773.314237,722,0.3064516129,20.17128516,3733,0.5061694915,423.9453335,1534,0.4109295473,11.28590903,3637,0.4931525424,382.162706,1530,0.4206763816,15.19979336
97,2020,Temple,American Athletic,6988,1248,1186.57544,2931,0.4194333143,10161,3761,4484,1249,0.1787349742,4728,0.6765884373,447.7730134,2211,0.4676395939,11.05393621,2260,0.3234115627,738.8024264,720,0.3185840708,21.04603664,3565,0.5101602748,384.9777477,1474,0.4134642356,11.27332854,3419,0.4892673154,808.7884097,1453,0.4249780638,16.13061365,6978,1240,1392.328986,3042,0.4359415305,13.59490147,10962,4328,5204,1150.5,0.1648753224,4809,0.6891659501,632.1183861,2337,0.4859638178,11.18325963,2169,0.3108340499,854.669195,705,0.3250345781,21.69890492,3719,0.5329607337,543.2675964,1619,0.4353320785,11.38735352,3256,0.4666093437,536.4682077,1420,0.4361179361,16.23580291
98,2020,Tennessee,SEC,7606,1306,1614.02795,3438,0.4520115698,11169,4161,4536,1273.5,0.167433605,5321,0.6995792795,743.432558,2667,0.5012215749,10.73719014,2285,0.3004207205,870.5953917,771,0.3374179431,20.78691952,3851,0.5063108073,545.8835228,1749,0.4541677486,10.24883706,3752,0.4932947673,1079.532224,1686,0.4493603412,16.05022279,7596,1305,1690.694335,3463,0.455897841,13.30029002,11414,4250,4675,1227,0.1615323855,5324,0.700895208,826.9783856,2671,0.5016904583,11.16552059,2272,0.299104792,1028.549258,792,0.3485915493,20.57495647,3762,0.4952606635,664.4850096,1757,0.4670388091,10.56023651,3833,0.5046076883,676.4141351,1705,0.4448212888,16.29895266
99,2020,Texas,Big 12,8185,1517,1437.985599,3476,0.4246792914,11852,4551,5904,1429,0.1745876604,5592,0.6832009774,694.9713983,2678,0.4788984263,12.03257484,2593,0.3167990226,743.0142009,798,0.307751639,22.44025019,4227,0.5164324985,524.6537961,1786,0.4225218831,12.0035152,3950,0.4825901038,929.006884,1682,0.4258227848,17.26926628,8153,1513,1206.381691,3354,0.4113823133,14.32657892,11835,4393,5357,1406,0.1724518582,5553,0.681098982,527.304385,2577,0.4640734738,12.00630518,2600,0.318901018,708.1967671,777,0.2988461538,21.79053056,4169,0.511345517,499.0045665,1733,0.4156872152,12.20825597,3981,0.4882865203,408.5300521,1618,0.4064305451,16.64758465
100,2020,Texas A&M,SEC,7182,1239,1573.254267,3290,0.4580896686,10474,3931,4115,1105.5,0.1539264829,5085,0.7080200501,700.2186798,2549,0.5012782694,10.61685725,2097,0.2919799499,873.0355874,741,0.3533619456,21.2925759,3476,0.4839877471,567.1130104,1613,0.4640391254,10.40993735,3705,0.5158730159,1008.48119,1676,0.4523616734,15.78341352,7087,1238,1567.233266,3231,0.4559051785,13.68377217,10814,4070,4795,1146,0.1617045294,4997,0.7050938338,682.3604441,2490,0.4982989794,11.19025215,2090,0.2949061662,922.8677554,741,0.3545454545,21.90549121,3506,0.4947086214,646.707964,1651,0.4709070165,11.28833058,3580,0.5051502752,458.0066136,1579,0.4410614525,16.28476097
101,2020,Texas State,Sun Belt,7436,1325,1361.604736,3172,0.4265734266,11158,4016,4739,1249.5,0.1680338892,5099,0.685718128,592.7673239,2402,0.4710727594,11.25810782,2337,0.314281872,768.837412,770,0.3294822422,19.92429591,3851,0.5178859602,498.5216266,1641,0.4261230849,10.88831043,3581,0.4815761162,870.4828166,1527,0.4264172019,15.93573881,7568,1326,1401.27828,3324,0.439217759,13.07655231,11855,4437,5117,1228.5,0.1623282241,5258,0.6947674419,663.71177,2560,0.4868771396,11.08078605,2310,0.3052325581,817.7228451,764,0.3307359307,19.87396873,4034,0.5330338266,590.4136358,1785,0.4424888448,11.04711264,3530,0.4664376321,432.4036401,1535,0.4348441926,15.58029435
102,2020,Texas Tech,Big 12,7314,1372,1209.042444,3018,0.412633306,10301,4046,5475,1310,0.1791085589,4935,0.674733388,477.8871203,2289,0.4638297872,11.20716516,2379,0.325266612,731.1553238,729,0.3064312736,21.02774843,3719,0.5084768936,446.8607405,1533,0.4122075827,11.7166981,3593,0.4912496582,765.6615525,1483,0.4127470081,15.63632488,7179,1368,1067.948944,2885,0.4018665552,13.56380372,9608,3779,5329,1329,0.1851232762,4805,0.6693132748,454.4361318,2189,0.4555671176,11.33795316,2374,0.3306867252,698.3687124,696,0.2931760741,20.48658437,3615,0.5035520267,378.8367496,1429,0.3952973721,11.62958686,3559,0.4957514974,348.367527,1451,0.4076987918,15.62873275
103,2020,Toledo,Mid-American,4385,794,732.0905807,1877,0.428050171,6994,2654,3189,730,0.1664766249,3023,0.689395667,321.9868234,1451,0.4799867681,11.18743361,1362,0.310604333,410.1037573,426,0.3127753304,20.68472106,2372,0.5409350057,312.4314392,1026,0.4325463744,11.31949711,2011,0.458608894,423.054234,849,0.4221780209,15.9957796,4425,790,999.4165012,1993,0.4503954802,13.76915223,6968,2849,3581,752,0.1699435028,3048,0.6888135593,428.5085591,1527,0.500984252,11.24269561,1377,0.3111864407,594.6567926,466,0.3384168482,21.72799198,2355,0.5322033898,414.8576909,1066,0.4526539278,11.32851094,2067,0.4671186441,313.802069,924,0.4470246734,16.82974401
104,2020,Troy,Sun Belt,8144,1438,1684.725089,3593,0.4411836935,13813,5366,6996,1359,0.1668713163,5645,0.6931483301,827.5373827,2761,0.489105403,11.2931635,2499,0.3068516699,857.1877067,832,0.3329331733,20.25112733,4560,0.5599214145,862.882114,2062,0.4521929825,11.43880196,3580,0.4395874263,829.5803773,1527,0.4265363128,15.98045374,8273,1441,1617.408438,3662,0.442644748,13.19767572,13466,4952,5463,1306.5,0.1579233652,5714,0.690680527,753.5855319,2805,0.490899545,11.03938854,2559,0.309319473,868.4970423,857,0.3348964439,20.22487507,4404,0.5323340989,754.7048754,2012,0.4568574024,10.86527867,3866,0.4673032757,251.1919224,1647,0.4260217279,16.20699854
