"","season","team","conference","X2020.Off.Success.Rate.Rank","X2020.Off.Finishing.Drives","X2020.Off.Havoc","X2020.Def.Success.Rate.Rank","X2020.Def.Finishing.Drives","X2020.Def.Havoc","DK.Opener","TAN","SP.","off_plays","off_drives","off_total_ppa","off_epa_per_play","successful_plays","off_success_rate","off_line_yds_total","off_second_lvl_yds_total","off_open_field_yds_total","off_havoc_plays","off_havoc_total","off_standard_downs","off_standard_downs_rate","off_standard_down_ppa_total","off_standard_down_epa_play","off_standard_down_success","off_standard_downs_success_rate","off_standard_downs_explosiveness","off_passing_downs","off_passing_downs_rate","off_passing_down_ppa_play","off_passing_down_ppa","off_passing_down_successes","off_passing_downs_success_rate","off_passing_downs_explosiveness","off_rushing_plays","off_rushing_plays_rate","off_rushing_plays_ppa_play","off_rushing_plays_total_ppa","successful_rushes","off_rushing_plays_success_rate","off_rushing_plays_explosiveness","off_passing_plays","off_passing_plays_rate","off_passing_plays_ppa_play","off_passing_plays_total_ppa","successful_passes","off_passing_plays_success_rate","off_passing_plays_explosiveness","def_plays","def_drives","def_ppa_per_play","def_total_ppa","def_successful_def_downs","def_success_rate","def_explosiveness","def_line_yds_total","def_second_lvl_yds_total","def_open_field_yds_total","def_havoc_plays","def_havoc_total","def_standard_downs","def_standard_downs_rate","def_standard_down_ppa_per_play","def_standard_down_ppa_total","def_standard_down_successful_plays","def_standard_downs_success_rate","def_standard_downs_explosiveness","def_passing_downs","def_passing_downs_rate","def_passing_downs_ppa_per_play","def_passing_downs_total_ppa","def_passing_down_successes","def_passing_downs_success_rate","def_passing_downs_explosiveness","Def_rushing_plays","def_rushing_plays_rate","def_rushing_plays_ppa_per_play","def_rushing_plays_total_ppa","def_successful_rushes","def_rushing_plays_success_rate","def_rushing_plays_explosiveness","def_passing_plays","def_passing_plays_rate","def_passing_plays_ppa_per_play","def_passing_plays_ppa","def_passing_successes","def_passing_plays_success_rate","def_passing_plays_explosiveness","logo","color","alt_color","Conf","Div","Net.RP","X2021.Off.Adjust","X2021.Def.Adj","RP.Offense","RP.Defense","O.Pass","O.Recv","OL.Starts","OL.Played","O.Rush","D.Tackles","D.PD","D.INT","D.Sacks","D.TFL"
"35",2020,"Georgia Southern","Sun Belt",586,561,632,706,587,680,71.5,823.8,7.3,8248,1446,1890.251513,0.2291769536,3706,0.4493210475,12922,4928,5820,1333.5,0.1616755577,5713,0.6926527643,939.1098527,0.16438121,2819,0.4934360231,11.53219668,2535,0.3073472357,0.3752038108,951.1416604,887,0.3499013807,20.57721015,4302,0.5215809893,0.1600413471,688.4978751,1914,0.4449093445,10.90471943,3942,0.4779340446,0.3069221337,1209.887051,1788,0.4535768645,16.82073245,8466,1456,0.16047595,1358.589393,3654,0.4316087881,13.01143393,13041,4583,5060,1364,0.1611150484,5877,0.6941885188,0.09398081195,552.3252319,2794,0.4754126255,10.90397094,2589,0.3058114812,0.3270503918,846.7334645,860,0.3321745848,19.68923809,4370,0.5161823766,0.1188265401,519.2719801,1871,0.4281464531,10.78324627,4092,0.4833451453,0.08979457566,367.4394036,1779,0.4347507331,15.34644377,"http://a.espncdn.com/i/teamlogos/ncaa/500/290.png","#003775","#f0f0f0","SUN","E",-1,-3,2,"44%","72%","11.89%","54.87%","65.58%","63.90%","57.07%","66.37%","82.22%","83.33%","58.70%","64.49%"
"36",2020,"Georgia State","Sun Belt",647,553,464,802,763,645,78.5,878,11,8999,1567,1996.507777,0.2218588484,4037,0.4486054006,15610,5866,7303,1361.5,0.1512945883,6326,0.7029669963,1108.875661,0.1752885964,3140,0.4963642112,12.37933556,2673,0.2970330037,0.3320733692,887.6321158,897,0.3355780022,22.09258575,5045,0.5606178464,0.1844584282,930.5927701,2285,0.4529236868,11.99475848,3951,0.4390487832,0.2712499333,1071.708487,1749,0.4426727411,17.70951903,9037,1569,0.1794775905,1621.938985,3917,0.433440301,14.46618367,14160,5214,5870,1447.5,0.1601748368,6240,0.6904946332,0.1064370238,664.1670286,3000,0.4807692308,11.93431275,2797,0.3095053668,0.3327805467,930.7871893,917,0.3278512692,22.69133995,4776,0.5284939692,0.1470273331,702.2025428,2096,0.4388609715,12.17206258,4255,0.4708420936,0.1206379494,513.3144745,1815,0.4265569918,17.30604236,"http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png","#1e539a","#ebebeb","SUN","E",8.5,6.5,2,"86%","72%","100.00%","83.07%","65.69%","75.39%","97.98%","67.64%","68.18%","83.33%","91.43%","78.26%"
"37",2020,"Georgia Tech","ACC",563,561,591,618,606,465,85,920.3,116,8189,1442,1900.490527,0.2320784621,3679,0.4492612041,12099,4883,6213,1383.5,0.1689461473,5686,0.694346074,949.1608045,0.1669294415,2829,0.4975378122,11.49966127,2503,0.305653926,0.3800757978,951.329722,850,0.339592489,21.1972196,4091,0.4995725974,0.1749639519,715.7775273,1883,0.4602786605,10.93185181,4095,0.5000610575,0.2918039486,1194.93717,1793,0.4378510379,16.83661846,7764,1446,0.1841931123,1430.075324,3254,0.4191138588,14.16009503,10493,4283,5559,1468.5,0.1891421947,5182,0.6674394642,0.108617536,562.8560717,2434,0.4697028174,11.6318099,2582,0.3325605358,0.3618350643,934.2581359,820,0.3175832688,21.59825632,3751,0.483127254,0.1355307971,508.3760199,1591,0.4241535591,11.249907,4009,0.5163575477,0.1355216029,543.3061062,1659,0.4138189075,17.0867955,"http://a.espncdn.com/i/teamlogos/ncaa/500/59.png","#A28D5B","#003057","ACC","C",10.5,7,3.5,"91%","79%","95.73%","90.67%","85.82%","85.07%","99.16%","79.21%","81.82%","100.00%","83.33%","61.33%"
"38",2020,"Hawai'i","Mountain West",783,807,709,592,581,679,60.5,811.4,-97.7,4598,824,816.3358351,0.1775415039,1917,0.4169204002,6518,2641,3535,760.5,0.1653979991,3131,0.6809482384,350.1534793,0.1118343913,1476,0.4714148834,10.41995933,1467,0.3190517616,0.3177793837,466.1823559,441,0.3006134969,19.22729818,2309,0.5021748586,0.1431199948,330.464068,980,0.4244261585,10.70517003,2287,0.4973901696,0.214078896,489.5984353,935,0.4088325317,14.42573477,4647,822,0.17845252,829.2688606,1979,0.4258661502,12.20022469,6709,2587,3315,741,0.1594577147,3179,0.6840972671,0.1069404127,339.963572,1506,0.4737338786,10.04367796,1468,0.3159027329,0.3077102095,451.7185875,473,0.3222070845,18.98825458,2346,0.5048418334,0.1618209339,379.631911,1025,0.436913896,10.51282415,2300,0.494942974,0.05661763186,130.2205533,953,0.4143478261,14.13178886,"http://a.espncdn.com/i/teamlogos/ncaa/500/62.png","#003420","#ffffff","MW","W",4.5,2.5,2,"63%","73%","100.00%","25.97%","76.47%","55.33%","48.21%","73.83%","82.76%","58.33%","77.78%","55.71%"
"39",2020,"Houston","American Athletic",788,747,811,607,757,742,49.5,719.1,-34.2,6368,1156,1009.709034,0.1585598357,2672,0.4195979899,9637,3566,4149,1143,0.179491206,4317,0.6779208543,432.9950432,0.1002999868,2029,0.4700023164,9.907215649,2051,0.3220791457,0.2811867336,576.7139907,643,0.313505607,18.64235336,3332,0.523241206,0.1152239074,383.9260596,1393,0.4180672269,9.688660713,3030,0.4758165829,0.2103627212,637.3990453,1273,0.4201320132,14.88809546,6404,1148,0.1966057541,1259.063249,2745,0.428638351,12.22964629,10090,3736,4367,1058,0.1652092442,4388,0.685196752,0.1262140604,553.8272969,2096,0.4776663628,9.950457796,2016,0.314803248,0.407434524,821.3880004,649,0.3219246032,19.66588143,3464,0.54091193,0.1274168063,441.3718169,1466,0.4232101617,10.07358043,2938,0.4587757651,0.1660059293,487.7254203,1277,0.4346494214,14.90070752,"http://a.espncdn.com/i/teamlogos/ncaa/500/248.png","#C90822","#231f20","AAC","W",1.5,2,-0.5,"60%","60%","96.33%","52.76%","30.28%","35.90%","32.26%","59.36%","66.67%","66.67%","39.58%","52.86%"
"40",2020,"Illinois","Big Ten",772,687,706,671,679,750,75.5,950.2,88.7,6742,1178,1129.986289,0.1676040179,2882,0.4274695936,10258,3824,4532,1087.5,0.1613022842,4697,0.6966775438,537.4286029,0.114419545,2234,0.4756227379,12.01459368,2045,0.3033224562,0.2897592596,592.5576858,648,0.3168704156,22.62180205,3502,0.5194304361,0.1300351013,455.3829248,1497,0.4274700171,11.90068414,3237,0.4801245921,0.2100922335,680.0685598,1382,0.4269385233,16.99178271,6487,1174,0.160697985,1042.447829,2735,0.4216124557,14.27874643,9310,3534,4510,1107,0.1706489903,4429,0.6827501156,0.09912627186,439.0302581,2079,0.4694061865,11.86551542,2058,0.3172498844,0.3317154691,682.6704353,656,0.3187560739,22.09888013,3345,0.515646678,0.1105197068,369.6884193,1426,0.4263079223,11.54302255,3139,0.4838908586,0.1123638166,352.7100203,1306,0.4160560688,17.2403815,"http://a.espncdn.com/i/teamlogos/ncaa/500/356.png","#f77329","#E84A27","B1G","W",5,6,-1,"84%","59%","100.00%","72.01%","80.00%","80.00%","89.68%","67.63%","56.25%","57.14%","41.67%","47.46%"
"41",2020,"Indiana","Big Ten",699,709,679,583,706,715,73.5,907.8,124.9,5921,1077,1064.878991,0.1798478282,2544,0.4296571525,8550,3281,4299,979,0.1653436919,4058,0.6853572032,498.2761405,0.1227886004,1941,0.4783144406,11.34448105,1863,0.3146427968,0.3041346485,566.6028502,603,0.3236714976,20.35945313,2951,0.4983955413,0.1315255633,388.1319373,1257,0.4259573026,11.03018896,2966,0.5009288971,0.2326533576,690.0498586,1283,0.4325691167,15.7923131,6122,1082,0.1551501621,949.8292924,2556,0.4175106174,12.99477098,8695,3141,3714,1007,0.1644887292,4174,0.6818033322,0.09273704443,387.0844235,1934,0.4633445137,10.77510495,1948,0.3181966678,0.3257000842,634.4637639,622,0.319301848,19.96763392,3151,0.5147010781,0.1036518378,326.6069408,1322,0.4195493494,10.57814871,2968,0.484808886,0.1076610944,319.5381283,1231,0.4147574124,15.70538836,"http://a.espncdn.com/i/teamlogos/ncaa/500/84.png","#7D110C","#eeedeb","B1G","E",7.5,5.5,2,"81%","73%","100.00%","100.00%","28.74%","45.25%","100.00%","77.05%","64.71%","60.00%","76.00%","86.27%"
"42",2020,"Iowa","Big Ten",722,755,684,656,743,675,78.5,984.9,105.1,6102,1070,1137.433324,0.1864033635,2670,0.4375614553,9334,3549,4119,950,0.1556866601,4260,0.6981317601,528.4824035,0.1240569022,2063,0.4842723005,11.91266577,1842,0.3018682399,0.3305922478,608.9509205,607,0.3295331162,22.87282996,3236,0.5303179285,0.1260223569,407.8083468,1423,0.4397404203,11.43804805,2865,0.4695181908,0.2553879128,731.6863701,1246,0.434904014,17.80191765,5860,1059,0.1637202776,959.4008264,2467,0.4209897611,14.73633756,8600,3301,4004,994.5,0.1697098976,3976,0.6784982935,0.1104156685,439.0126981,1888,0.4748490946,12.26946467,1884,0.3215017065,0.3228580213,608.2645121,579,0.3073248408,22.52943544,3007,0.5131399317,0.1180143315,354.8690947,1268,0.4216827403,11.97728836,2851,0.4865187713,0.1375540091,392.1664798,1197,0.4198526833,17.56463803,"http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png","#000000","#ffe100","B1G","W",2.5,2.5,0,"63%","63%","100.00%","43.45%","31.51%","53.04%","65.14%","58.82%","76.00%","63.64%","50.00%","53.73%"
"43",2020,"Iowa State","Big 12",877,839,898,551,675,524,66.5,880.2,79.7,7290,1374,1172.650636,0.160857426,2996,0.4109739369,9962,3990,5380,1329.5,0.1823731139,4891,0.6709190672,472.3662105,0.09657865682,2267,0.4635043958,11.13233755,2399,0.3290809328,0.2919068049,700.2844251,729,0.3038766153,20.89401628,3641,0.4994513032,0.1257766879,457.9529205,1506,0.4136226311,11.77215029,3644,0.4998628258,0.1986702066,723.9542327,1485,0.4075192097,15.45933604,7261,1375,0.1550633376,1125.914895,2974,0.4095854565,13.21265794,10098,3870,5352,1297.5,0.1786943947,4929,0.6788321168,0.1099662456,542.0236247,2286,0.4637857578,11.16112629,2332,0.3211678832,0.2952612883,688.5493244,688,0.295025729,20.08609257,3673,0.5058531883,0.1233992475,453.245436,1506,0.410019058,11.44648796,3582,0.4933204793,0.08971629208,321.3637582,1462,0.4081518705,15.29313219,"http://a.espncdn.com/i/teamlogos/ncaa/500/66.png","#660015","#F1BE48","B12","",11,7,4,"90%","82%","99.03%","74.72%","100.00%","93.33%","85.58%","86.64%","88.89%","100.00%","62.07%","58.16%"
"44",2020,"Kansas","Big 12",722,705,760,485,619,399,78.5,925.2,117.6,8060,1491,1621.237934,0.2011461457,3495,0.4336228288,11683,4605,6475,1393,0.1728287841,5567,0.6906947891,742.689054,0.1334092067,2667,0.4790731094,11.3966216,2493,0.3093052109,0.3524062897,878.5488801,828,0.3321299639,21.03676288,4158,0.5158808933,0.1441743421,599.4769145,1794,0.4314574315,11.55083166,3898,0.4836228288,0.2640358153,1029.211608,1697,0.4353514623,16.15346218,7894,1494,0.1495439565,1180.499992,3202,0.405624525,13.54190325,10818,4198,5474,1452,0.1839371675,5306,0.6721560679,0.08982528688,476.6129722,2430,0.457972107,11.30519474,2588,0.3278439321,0.2814707711,728.4463557,772,0.2982998454,20.50786084,3925,0.4972130732,0.1180178181,463.2199361,1598,0.407133758,11.5871368,3963,0.5020268558,0.08178894172,324.1295761,1598,0.4032298764,15.69414648,"http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png","#0022B4","#e8000d","B12","",9.5,6.5,3,"87%","78%","98.27%","74.82%","92.71%","89.07%","75.28%","85.14%","67.65%","100.00%","100.00%","63.27%"
