Team,TAN.CONF,TAN.WIN,SP.WIN,X2021.Off.TARP.Percentage,X2020.Off.Success.Rate.Rank,X2020.Off.Finishing.Drives,X2020.Off.Havoc,X2021.Def.TARP.Percentage,X2020.Def.Success.Rate.Rank,X2020.Def.Finishing.Drives,X2020.Def.Havoc,DK.Opener.Win.Totals,TAN,SP.Ratings,off_overall_EPA,off_passing_EPA,off_rushing_EPA,off_first_down_EPA,off_second_down_EPA,off_third_down_EPA,off_cumulative_total_EPA,off_cumulative_passing_EPA,off_cumulative_rushing_EPA,def_overall_EPA,def_passing_EPA,def_rushing_EPA,def_first_down_EPA,def_second_down_EPA,def_third_down_EPA,def_cumulative_total_EPA,def_cumulative_passing_EPA,def_cumulative_rushing_EPA,off_plays,off_drives,off_ppa,off_total_ppa,off_success_rate,off_explosiveness,off_power_success,off_stuff_rate,off_line_yds,off_line_yds_total,off_second_lvl_yds,off_second_lvl_yds_total,off_open_field_yds,off_open_field_yds_total,off_pts_per_opp,off_field_pos_avg_start,off_field_pos_avg_predicted_points,off_havoc_total,off_havoc_front_seven,off_havoc_db,off_standard_downs_rate,off_standard_downs_ppa,off_standard_downs_success_rate,off_standard_downs_explosiveness,off_passing_downs_rate,off_passing_downs_ppa,off_passing_downs_success_rate,off_passing_downs_explosiveness,off_rushing_plays_rate,off_rushing_plays_ppa,off_rushing_plays_total_ppa,off_rushing_plays_success_rate,off_rushing_plays_explosiveness,off_passing_plays_rate,off_passing_plays_ppa,off_passing_plays_total_ppa,off_passing_plays_success_rate,off_passing_plays_explosiveness,def_plays,def_drives,def_ppa,def_total_ppa,def_success_rate,def_explosiveness,def_power_success,def_stuff_rate,def_line_yds,def_line_yds_total,def_second_lvl_yds,def_second_lvl_yds_total,def_open_field_yds,def_open_field_yds_total,def_pts_per_opp,def_field_pos_avg_start,def_field_pos_avg_predicted_points,def_havoc_total,def_havoc_front_seven,def_havoc_db,def_standard_downs_rate,def_standard_downs_ppa,def_standard_downs_success_rate,def_standard_downs_explosiveness,def_passing_downs_rate,def_passing_downs_ppa,def_passing_downs_total_ppa,def_passing_downs_success_rate,def_passing_downs_explosiveness,def_rushing_plays_rate,def_rushing_plays_ppa,def_rushing_plays_total_ppa,def_rushing_plays_success_rate,def_rushing_plays_explosiveness,def_passing_plays_rate,def_passing_plays_ppa,def_passing_plays_success_rate,def_passing_plays_explosiveness
Ohio State,49.83,74.62,78.12,0.09,853,866,863,0.1,789,843,888,70.5,960.8,107.2,1.86,2.53,1.1,-0.02,1.87,5.93,910.53,641.58,281.21,2.38,3.23,1.69,0.56,2.37,6.17,"1,141.52",723.62,426.27,"5,945.00",1073,1.86,910.53,5.03,14.37,8.15,2.45,33.84,8342,12.85,3108,15.38,3568,41.4,867.5,15.01,2.07,1.3,0.77,8.18,1.02,5.56,12.04,3.82,3.71,3.85,22.05,5.85,1.1,281.21,4.96,11.84,6.14,2.53,641.58,5.07,16.78,6122,1076,2.38,"1,141.52",5.2,14.38,8.76,2.2,34.98,9380,12.97,3480,16.27,4338,44.61,837,-17.37,1.79,1.13,0.66,8.32,1.64,5.77,11.9,3.68,4.02,723.62,3.9,22.67,6.42,1.69,426.27,5.17,11.97,5.57,3.23,5.22,17.27
Oklahoma,46.09,70.48,69.46,0.08,808,809,876,0.09,508,643,466,66,904.2,90.5,1.71,1.91,1.51,-0.03,2.22,4.41,"1,240.58",673.13,578.72,1.75,2.52,1.03,0.02,2.22,4.3,"1,227.55",868.85,367.95,"7,762.00",1448,1.71,"1,240.58",4.55,13.33,7.74,2.43,30.54,11235,12.28,4514,16.73,6222,38.7,771.4,15.41,1.98,1.29,0.69,7.43,1.03,5.13,11.06,3.57,3.07,3.3,20.6,5.66,1.51,578.72,4.62,11.77,5.33,1.91,673.13,4.45,15.16,7755,1438,1.75,"1,227.55",4.49,13.54,7.46,2.46,29.7,10796,11.14,4043,14.75,5329,38.95,768,-15.65,1.97,1.28,0.7,7.45,1.03,5.02,11.16,3.55,3.24,868.85,3.37,20.95,5.71,1.03,367.95,4.41,11.15,5.29,2.52,4.56,16.11
Oklahoma State,50.79,75.41,76.26,0.08,781,731,794,0.08,439,641,459,74,913.6,102.8,1.83,2.46,1.2,0.04,2.34,4.46,"1,280.39",851.94,439.62,1.6,2.19,1.05,-0.01,2.01,3.99,"1,072.23",726.14,358.02,"7,421.00",1389,1.83,"1,280.39",4.61,13.34,7.69,2.42,30.23,10231,11.69,3978,15.01,5254,40,767.5,15.65,1.96,1.26,0.71,7.44,1.03,5.16,10.85,3.56,3.47,3.42,21.12,5.45,1.2,439.62,4.64,11.18,5.54,2.46,851.94,4.55,15.64,7392,1390,1.6,"1,072.23",4.41,13.34,7.57,2.46,29.8,10107,11.25,3817,14.4,4872,38.68,768,-15.58,1.96,1.25,0.71,7.37,0.99,5.01,11.05,3.63,2.83,726.14,3.18,20.66,5.58,1.05,358.02,4.3,11.37,5.41,2.19,4.49,15.43
Old Dominion,39.18,67.52,65.32,0.09,873,615,702,0.08,666,727,779,65.5,735,-93.8,1.84,2.14,1.61,0.08,1.57,5.78,"1,115.54",595.66,523.61,1.93,2.26,1.63,0.5,1.68,5.6,"1,101.16",587.18,513.98,"6,442.00",1125,1.84,"1,115.54",4.58,13.51,8.16,2.06,32.54,10166,11.81,3743,14.75,4531,41.58,776.5,14.99,1.86,1.16,0.69,7.46,1.02,5.09,11.07,3.54,3.56,3.48,21.03,5.87,1.61,523.61,4.68,11.24,5.12,2.14,595.66,4.47,16.27,6360,1134,1.93,"1,101.16",4.76,12.94,8.14,1.98,32.83,10225,12.17,3774,14.9,4571,39.55,778,-14.95,1.77,1.14,0.63,7.59,1.32,5.3,10.78,3.41,3.29,587.18,3.56,20.07,5.95,1.63,513.98,4.86,10.76,5.05,2.26,4.63,15.59
Ole Miss,41.01,81.66,79.11,0.07,532,736,611,0.08,754,592,646,77,921.9,108.5,2.34,2.85,1.89,1.1,1.98,5.33,"1,794.35","1,049.45",755.4,2.05,2.81,1.3,0.77,1.73,5.34,"1,433.11",998.24,439.55,"8,113.00",1402,2.34,"1,794.35",5.03,12.88,8.04,2.04,33.78,12466,13.05,4899,13.15,5196,39.82,789.6,14.09,1.76,1.11,0.65,7.69,1.53,5.54,10.66,3.31,4.24,3.84,20.43,5.45,1.89,755.4,5.14,10.37,5.54,2.85,"1,049.45",4.93,15.6,8008,1411,2.05,"1,433.11",4.85,13.07,7.78,2.12,32.46,11540,12.27,4337,12.81,4417,38.48,786,-14.22,1.85,1.14,0.71,7.59,1.24,5.37,10.67,3.41,3.85,998.24,3.67,20.83,5.41,1.3,439.55,4.86,10.17,5.59,2.81,4.84,15.96
Oregon,48.96,72.95,68.88,0.09,494,646,622,0.08,878,746,759,68,914.4,96.8,2.23,2.54,2.07,0.56,1.95,6.36,942.26,509.04,437.81,2.48,3.14,1.82,1.15,1.99,6.56,937.54,574.55,362.99,"4,397.00",769,2.23,942.26,4.95,12.84,7.59,2.32,32.59,6718,12.98,2691,16.96,3610,40.2,784.8,14.44,1.7,1.07,0.63,7.65,1.42,5.47,10.72,3.35,4.07,3.78,19.76,5.52,2.07,437.81,5.02,11.3,5.47,2.54,509.04,4.88,14.69,4209,767,2.48,937.54,4.96,13.44,7.89,2.21,32.38,6162,13.07,2480,18.74,3620,41.32,776,-15.03,1.78,1.15,0.63,7.64,1.77,5.48,11.34,3.36,4.12,574.55,3.72,20.52,5.51,1.82,362.99,5.02,11.41,5.49,3.14,4.86,15.66
Oregon State,51.42,74.54,77.61,0.08,534,685,675,0.09,848,730,700,75,910.5,120,2.29,2.88,1.59,0.47,2.06,6.32,868.08,574.14,293.94,2.25,2.89,1.65,0.92,1.45,6.39,843.13,519.34,327.1,"4,162.00",746,2.29,868.08,4.92,13.1,7.49,2.34,31.22,5679,12.31,2208,16.27,2963,40.09,770,15.47,1.73,1.11,0.62,7.64,1.51,5.43,10.9,3.36,4.09,3.78,20.4,5.34,1.59,293.94,4.98,10.74,5.66,2.88,574.14,4.81,15.51,4226,743,2.25,843.13,4.9,13.21,7.79,2.3,32.28,6283,13.18,2532,16.19,3113,40.49,776,-14.93,1.83,1.15,0.68,7.59,1.62,5.47,11.19,3.41,3.65,519.34,3.58,20.07,5.53,1.65,327.1,4.98,11.18,5.46,2.89,4.8,15.58
Penn State,51.38,76.19,77.08,0.08,775,776,599,0.08,695,660,674,72.5,912.9,118,1.74,2.3,1.19,0.25,1.59,5.28,915.51,577.11,351.7,1.87,2.79,0.93,0.33,1.86,5.55,"1,038.60",757.03,293.2,"5,774.00",1056,1.74,915.51,4.62,13.4,7.84,2.14,31.31,8555,11.85,3223,14.55,3815,38.04,778.7,15.03,1.79,1.12,0.67,7.45,1.1,5.18,11.2,3.55,3.11,3.42,20.56,5.61,1.19,351.7,4.64,10.94,5.39,2.3,577.11,4.55,16.29,5980,1051,1.87,"1,038.60",4.77,12.77,7.74,2.12,31.22,8622,11.37,3167,13.6,3708,39.33,795,-13.86,1.83,1.14,0.69,7.6,1.12,5.26,10.74,3.4,3.57,757.03,3.66,19.24,5.49,0.93,293.2,4.64,10.04,5.5,2.79,4.85,15.5
Pittsburgh,40.98,72.2,71.43,0.08,633,708,583,0.08,767,768,520,68.5,861.3,57,2.1,2.65,1.6,0.89,1.97,4.45,"1,543.67",892.93,654.38,2.43,2.94,1.93,0.79,2.21,6,"1,610.54",970.45,644.27,"7,327.00",1358,2.1,"1,543.67",4.74,13.61,7.43,2.16,32.7,11260,13.11,4606,15.14,5621,37.48,780.6,14.64,1.96,1.26,0.7,7.57,1.29,5.29,11.19,3.43,3.85,3.51,21.76,5.64,1.6,654.38,4.84,11.12,5.36,2.65,892.93,4.63,16.45,7604,1366,2.43,"1,610.54",4.82,14.01,8.44,2.23,32.06,11275,12.82,4472,17.67,5975,41.11,777,-14.86,1.93,1.33,0.6,7.54,1.68,5.36,11.67,3.46,4.06,970.45,3.65,21.48,5.64,1.93,644.27,4.88,11.29,5.36,2.94,4.75,16.94
Purdue,46.96,75.63,75.92,0.07,621,647,585,0.08,657,498,655,77,920.4,129.3,1.95,2.42,1.56,0.26,1.94,5.48,"1,127.66",641.96,495.28,1.8,2.45,1.18,0.39,1.84,5.01,945.65,631.54,332.44,"6,184.00",1087,1.95,"1,127.66",4.78,12.84,8.32,2.15,31.87,9808,12.17,3775,14.94,4732,40.14,782.4,14.81,1.72,1.13,0.6,7.62,1.4,5.34,10.9,3.38,3.21,3.48,19.66,5.97,1.56,495.28,4.85,10.56,5.03,2.42,641.96,4.67,15.74,5967,1085,1.8,945.65,4.72,12.95,7.59,2.32,30.98,8294,11.88,3197,15.5,4086,36.16,790,-14.33,1.86,1.13,0.73,7.53,1.18,5.26,10.9,3.47,3.11,631.54,3.52,19.59,5.4,1.18,332.44,4.65,10.56,5.59,2.45,4.77,15.33
