Team,TAN.CONF,TAN.WIN,SP.WIN,X2021.Off.TARP.Percentage,X2020.Off.Success.Rate.Rank,X2020.Off.Finishing.Drives,X2020.Off.Havoc,X2021.Def.TARP.Percentage,X2020.Def.Success.Rate.Rank,X2020.Def.Finishing.Drives,X2020.Def.Havoc,DK.Opener.Win.Totals,TAN,SP.Ratings,off_overall_EPA,off_passing_EPA,off_rushing_EPA,off_first_down_EPA,off_second_down_EPA,off_third_down_EPA,off_cumulative_total_EPA,off_cumulative_passing_EPA,off_cumulative_rushing_EPA,def_overall_EPA,def_passing_EPA,def_rushing_EPA,def_first_down_EPA,def_second_down_EPA,def_third_down_EPA,def_cumulative_total_EPA,def_cumulative_passing_EPA,def_cumulative_rushing_EPA,off_plays,off_drives,off_ppa,off_total_ppa,off_success_rate,off_explosiveness,off_power_success,off_stuff_rate,off_line_yds,off_line_yds_total,off_second_lvl_yds,off_second_lvl_yds_total,off_open_field_yds,off_open_field_yds_total,off_pts_per_opp,off_field_pos_avg_start,off_field_pos_avg_predicted_points,off_havoc_total,off_havoc_front_seven,off_havoc_db,off_standard_downs_rate,off_standard_downs_ppa,off_standard_downs_success_rate,off_standard_downs_explosiveness,off_passing_downs_rate,off_passing_downs_ppa,off_passing_downs_success_rate,off_passing_downs_explosiveness,off_rushing_plays_rate,off_rushing_plays_ppa,off_rushing_plays_total_ppa,off_rushing_plays_success_rate,off_rushing_plays_explosiveness,off_passing_plays_rate,off_passing_plays_ppa,off_passing_plays_total_ppa,off_passing_plays_success_rate,off_passing_plays_explosiveness,def_plays,def_drives,def_ppa,def_total_ppa,def_success_rate,def_explosiveness,def_power_success,def_stuff_rate,def_line_yds,def_line_yds_total,def_second_lvl_yds,def_second_lvl_yds_total,def_open_field_yds,def_open_field_yds_total,def_pts_per_opp,def_field_pos_avg_start,def_field_pos_avg_predicted_points,def_havoc_total,def_havoc_front_seven,def_havoc_db,def_standard_downs_rate,def_standard_downs_ppa,def_standard_downs_success_rate,def_standard_downs_explosiveness,def_passing_downs_rate,def_passing_downs_ppa,def_passing_downs_total_ppa,def_passing_downs_success_rate,def_passing_downs_explosiveness,def_rushing_plays_rate,def_rushing_plays_ppa,def_rushing_plays_total_ppa,def_rushing_plays_success_rate,def_rushing_plays_explosiveness,def_passing_plays_rate,def_passing_plays_ppa,def_passing_plays_success_rate,def_passing_plays_explosiveness
Rice,41.47,62.69,66.64,0.08,831,565,527,0.08,724,813,652,64,744.7,-60.5,1.96,2.64,1.41,0.56,1.79,5.22,"1,294.56",794.03,504.48,2.18,2.68,1.76,0.79,1.88,6.12,"1,425.96",806.77,629.25,"7,166.00",1295,1.96,"1,294.56",4.63,13.69,7.62,2.13,32.56,11123,11.75,4021,13.67,4809,41.91,783,14.5,1.8,1.13,0.67,7.52,1.15,5.12,11.09,3.48,3.68,3.55,21.76,5.73,1.41,504.48,4.68,10.98,5.27,2.64,794.03,4.58,16.85,7270,1293,2.18,"1,425.96",4.79,13.61,8.11,2.16,32.57,11477,11.9,4178,16.52,5732,42.04,769,-15.51,1.77,1.13,0.65,7.58,1.54,5.3,11.5,3.42,3.67,806.77,3.64,20.55,5.84,1.76,629.25,4.83,11.45,5.15,2.68,4.72,16.25
Rutgers,44.41,68.68,69.15,0.08,913,814,727,0.08,608,643,668,70,880.8,87.9,1.51,2.31,0.72,-0.05,1.49,4.88,786.34,589.38,208.59,1.94,2.74,1.2,0.33,1.9,5.46,"1,052.80",685.72,374.35,"5,830.00",1083,1.51,786.34,4.45,13.43,7.44,2.24,30.56,8343,11.32,3058,13.7,3580,37.02,785.8,14.35,1.86,1.18,0.69,7.38,0.78,4.93,11.25,3.62,3,3.46,19.94,5.57,0.72,208.59,4.38,10.57,5.43,2.31,589.38,4.49,16.55,5982,1088,1.94,"1,052.80",4.67,13.3,8.2,2.11,31.8,8911,11.84,3338,14.49,4063,38.54,785,-14.6,1.82,1.13,0.69,7.5,1.22,5.22,10.97,3.5,3.51,685.72,3.5,20.81,5.59,1.2,374.35,4.65,10.51,5.4,2.74,4.66,16.37
San Diego State,41.06,62.53,61.75,0.08,656,828,662,0.09,547,491,774,61,769.7,-71.7,1.93,2.28,1.56,0.44,1.81,5.06,914.64,544.19,372.53,2.03,2.4,1.7,0.32,2,5.63,919.52,496.57,422.95,"4,659.00",822,1.93,914.64,4.35,12.22,6.88,2.06,29.29,6716,11.39,2595,14.22,3220,33.16,694.2,14.38,1.58,1.07,0.51,6.86,1.13,4.81,10.1,3.14,3.68,3.32,18.96,4.99,1.56,372.53,4.4,10.45,5.01,2.28,544.19,4.26,14.16,4607,833,2.03,919.52,4.24,12.58,7.12,1.95,29.5,7155,11.19,2681,16,3804,33.3,682,-15.28,1.5,1,0.5,6.82,1.39,4.74,10.51,3.18,3.5,496.57,3.18,19.52,5.26,1.7,422.95,4.34,10.69,4.74,2.4,4.12,14.87
San José State,41.25,61.66,63.32,0.08,802,820,802,0.09,504,666,528,60.5,756.7,-77.7,1.72,2.12,1.2,0.25,1.66,4.31,824.41,531.79,294.7,1.81,2.11,1.51,0.17,1.58,5.22,805.85,436.75,371.19,"4,543.00",821,1.72,824.41,4.11,12.65,6.83,2.22,27.96,6277,10.85,2440,13.99,3175,33.7,694.6,14.35,1.72,1.18,0.54,6.74,0.95,4.61,10.41,3.26,3.4,3.07,19.73,4.96,1.2,294.7,4.19,10.38,5.04,2.12,531.79,3.96,15.02,4559,813,1.81,805.85,4.17,12.46,7.08,2.17,27.95,6602,11.02,2608,15.02,3564,36.71,702,-13.91,1.7,1.22,0.48,6.77,1.07,4.66,10.34,3.23,3.33,436.75,3.11,19.12,5.15,1.51,371.19,4.2,10.84,4.85,2.11,4.11,14.34
SMU,45.24,68.18,71.07,0.08,752,648,771,0.08,576,734,723,69.5,822.6,10.6,2.06,2.43,1.72,0.29,2.26,5.12,"1,491.75",845.21,655.75,2,2.76,1.35,0.41,1.84,5.57,"1,411.51",903.16,513.96,"7,705.00",1382,2.06,"1,491.75",4.72,13.66,7.84,2.11,32.81,12215,12.28,4558,14.99,5661,40.15,768.6,15.66,1.85,1.22,0.63,7.51,1.22,5.23,11.15,3.49,3.87,3.61,21.51,5.84,1.72,655.75,4.79,11.3,5.16,2.43,845.21,4.58,16.8,7693,1384,2,"1,411.51",4.6,13.78,7.92,2.22,31.33,11647,11.66,4328,15.13,5624,39.86,768,-15.63,1.83,1.2,0.63,7.44,1.33,5.18,11.31,3.56,3.42,903.16,3.4,21.67,5.84,1.35,513.96,4.59,11.19,5.15,2.76,4.62,16.66
South Alabama,39.67,62.26,68.31,0.08,651,752,408,0.09,828,789,542,62,749.2,-33.2,2.01,2.32,1.6,0.72,2.03,4.91,"1,528.80",849.84,686.37,2.25,2.72,1.87,0.4,2.03,6.26,"1,585.84",869.07,725.9,"7,806.00",1393,2.01,"1,528.80",4.81,12.98,7.54,2.04,33.34,12808,12.51,4811,14.47,5764,38.5,782.4,14.59,1.77,1.1,0.67,7.59,1.58,5.36,11.14,3.41,3.05,3.57,19.39,5.84,1.6,686.37,4.83,10.7,5.15,2.32,849.84,4.7,15.65,8128,1384,2.25,"1,585.84",4.87,13.39,7.73,2.05,33,13195,12.37,4884,13.56,5324,41.67,766,-15.75,1.73,1.13,0.61,7.65,1.49,5.35,11.28,3.35,3.96,869.07,3.77,20.15,6.06,1.87,725.9,4.91,11.29,4.93,2.72,4.78,16.23
South Carolina,50.9,86.18,84.82,0.07,549,777,467,0.08,843,762,776,81,913.4,108.3,2.12,2.6,1.51,1.02,1.65,5.19,"1,590.39","1,042.49",552.58,2.16,2.94,1.36,0.71,2.14,4.89,"1,478.99","1,020.13",465.23,"7,836.00",1349,2.12,"1,590.39",4.94,12.62,7.96,2.02,32.92,11527,12.12,4255,12.62,4491,38.87,781.5,14.59,1.77,1.06,0.71,7.73,1.51,5.48,10.61,3.27,3.55,3.67,19.84,5.43,1.51,552.58,4.99,10.01,5.57,2.6,"1,042.49",4.82,15.3,7717,1346,2.16,"1,478.99",4.93,12.93,7.93,2.11,32.28,11180,11.9,4120,13.02,4400,40.9,790,-13.91,1.82,1.15,0.66,7.67,1.52,5.48,10.9,3.33,3.65,"1,020.13",3.64,19.97,5.42,1.36,465.23,4.84,10.25,5.58,2.94,5,15.53
South Florida,45.23,78.48,78.57,0.08,561,490,534,0.08,545,742,541,73.5,868.1,54.3,2.52,3.34,1.65,0.88,2.78,5.84,"1,898.17","1,274.52",631.53,1.92,2.8,1.17,0.42,1.84,5.08,"1,348.06",939.96,413.74,"7,906.00",1403,2.52,"1,898.17",4.97,13.6,7.87,2.07,32.97,11882,12.68,4604,14.66,5394,43.52,766.5,15.8,1.81,1.12,0.69,7.62,1.68,5.41,11.19,3.38,4.43,3.96,21,5.49,1.65,631.53,4.87,10.92,5.5,3.34,"1,274.52",5.05,16.2,7882,1398,1.92,"1,348.06",4.59,13.72,7.7,2.18,31.45,11589,11.76,4323,13.17,4770,39.69,785,-14.37,1.95,1.28,0.67,7.42,1.17,5.12,11.29,3.58,3.5,939.96,3.49,21.13,5.72,1.17,413.74,4.56,10.83,5.28,2.8,4.62,17
Southern Mississippi,46.72,69.13,64.8,0.08,844,700,654,0.09,680,750,782,64,753.3,-75,1.98,2.86,1.2,0.12,1.67,6.15,"1,416.63",978.16,440.15,2.03,2.54,1.6,0.6,1.76,5.82,"1,319.50",754.31,568.48,"7,118.00",1242,1.98,"1,416.63",4.65,13.54,7.95,2.07,32.05,10647,10.87,3690,12.62,4269,40.44,773.3,15.21,1.79,1.13,0.67,7.56,1.02,5.11,10.88,3.44,4.09,3.64,21.82,5.65,1.2,440.15,4.61,10.69,5.35,2.86,978.16,4.68,16.67,7030,1246,2.03,"1,319.50",4.74,13.36,7.93,2.08,32.43,10994,11.91,4016,16.17,5517,40.75,782,-14.71,1.75,1.13,0.63,7.58,1.38,5.22,11.31,3.42,3.48,754.31,3.66,19.88,5.86,1.6,568.48,4.76,11.17,5.14,2.54,4.7,15.93
Stanford,53.13,86.31,86.76,0.09,597,614,800,0.09,1027,822,784,85,"1,010.00",138.5,2.42,3.07,1.83,0.79,1.94,6.7,"1,059.75",649.67,414.06,2.55,3.12,1.97,1.29,1.83,6.51,"1,114.43",703.08,419.7,"5,268.00",928,2.42,"1,059.75",5.35,14.21,8.35,2.5,34.52,8001,14.1,3243,18.58,4238,45.18,838.7,17,1.95,1.25,0.7,8.36,1.74,5.97,12.14,3.64,3.97,3.9,21.64,6.22,1.83,414.06,5.46,11.88,5.78,3.07,649.67,5.18,17.06,5319,943,2.55,"1,114.43",5.47,14.06,8.58,2.49,35.68,7529,14.44,3035,17.66,3841,44.52,846,-16.34,1.98,1.22,0.76,8.35,1.97,6.14,12.04,3.65,3.88,703.08,3.89,21.55,5.8,1.97,419.7,5.54,12.08,6.2,3.12,5.39,16.13
Syracuse,42.34,80.67,77.36,0.08,649,644,750,0.08,702,661,577,72.5,901.4,69.6,2.39,2.83,1.9,0.9,1.87,5.94,"1,661.48","1,012.86",663.08,2,2.58,1.47,0.27,2.41,5.05,"1,364.44",874.06,494.19,"7,575.00",1346,2.39,"1,661.48",4.81,13.94,7.94,2.18,31.8,11102,13.28,4663,16.67,5852,40.87,768.6,15.55,1.86,1.24,0.62,7.51,1.59,5.37,11.48,3.49,4.06,3.6,21.8,5.71,1.9,663.08,4.92,11.49,5.29,2.83,"1,012.86",4.66,16.68,7421,1344,2,"1,364.44",4.72,13.68,7.69,2.33,31.34,10702,13.07,4555,15.44,5394,38.68,784,-14.32,1.92,1.28,0.64,7.44,1.17,5.25,11.31,3.56,3.7,874.06,3.6,20.8,5.67,1.47,494.19,4.79,11.17,5.33,2.58,4.65,16.42
TCU,47.91,73.6,72.68,0.08,801,690,798,0.08,604,724,507,70.5,909.7,98.2,1.82,2.45,1.23,0.08,2.01,5.08,"1,335.75",906.08,437.25,1.79,2.42,1.23,0.42,1.94,4.24,"1,188.00",773.31,423.95,"7,508.00",1395,1.82,"1,335.75",4.57,13.41,7.63,2.49,29.93,10181,11.77,4019,15.33,5319,40.69,768.6,15.53,1.95,1.25,0.7,7.43,1.01,5.1,10.97,3.57,3.49,3.42,20.98,5.41,1.23,437.25,4.58,11.3,5.59,2.45,906.08,4.56,15.62,7375,1375,1.79,"1,188.00",4.63,13.15,7.55,2.4,30.39,10265,11.48,3922,14.98,5094,40.23,765,-15.63,1.94,1.23,0.71,7.54,1.16,5.18,11.05,3.46,3.17,773.31,3.4,20.17,5.63,1.23,423.95,4.54,11.29,5.36,2.42,4.7,15.2
Temple,42.49,68.3,66.5,0.08,852,806,870,0.09,752,824,822,63,823.9,-5.8,1.71,2.24,1.2,-0.05,1.6,5.23,"1,186.58",808.79,384.98,2.29,3.05,1.68,0.64,2.35,5.5,"1,392.33",854.67,543.27,"6,988.00",1248,1.71,"1,186.58",4.56,13.49,7.83,2.18,31.39,10161,11.79,3761,13.99,4484,38.2,776.2,15.07,1.99,1.3,0.69,7.42,0.9,5.07,11.05,3.58,3.4,3.48,21.05,5.64,1.2,384.98,4.51,11.27,5.35,2.24,808.79,4.57,16.13,6978,1240,2.29,"1,392.33",4.82,13.59,7.98,2.09,32.61,10962,12.89,4328,15.73,5204,40.98,763,-16.1,1.78,1.17,0.61,7.59,1.54,5.37,11.18,3.41,4.02,854.67,3.59,21.7,5.93,1.68,543.27,4.79,11.39,5.06,3.05,4.86,16.24
Tennessee,40.49,71.61,72.18,0.07,650,747,639,0.07,928,846,761,71.5,848.4,55.3,2.13,2.65,1.5,0.63,2.06,5.63,"1,614.03","1,079.53",545.88,2.6,3.14,2.02,0.96,2.73,5.69,"1,690.69","1,028.55",664.49,"7,606.00",1306,2.13,"1,614.03",4.89,12.98,8.06,2.11,31.83,11169,11.82,4161,12.93,4536,38.62,784.7,14.32,1.87,1.19,0.69,7.65,1.36,5.44,10.74,3.35,3.97,3.65,20.79,5.64,1.5,545.88,4.96,10.25,5.35,2.65,"1,079.53",4.75,16.05,7596,1305,2.6,"1,690.69",5.06,13.3,7.91,2.02,33.53,11414,12.61,4250,14.22,4675,42.89,779,-14.69,1.76,1.11,0.65,7.73,1.82,5.54,11.17,3.27,4.42,"1,028.55",3.89,20.57,5.54,2.02,664.49,5.14,10.56,5.46,3.14,4.94,16.3
Texas,54.77,82.98,81.22,0.09,846,877,925,0.09,577,665,551,78.5,985.4,99.7,2.03,2.86,1.33,0.32,2.14,5.11,"1,437.99",929.01,524.65,1.74,2.12,1.37,0.16,1.83,4.61,"1,206.38",708.2,499,"8,185.00",1517,2.03,"1,437.99",5.05,14.44,8.48,2.57,33.35,11852,12.62,4551,15.93,5904,42.47,839.5,16.93,2.11,1.39,0.72,8.2,1.36,5.68,12.03,3.8,3.39,3.67,22.44,6.22,1.33,524.65,5.01,12,5.77,2.86,929.01,5.08,17.27,8153,1513,1.74,"1,206.38",4.93,14.33,8.31,2.52,33.85,11835,12.56,4393,15.46,5357,41.43,848,-16.28,2.06,1.27,0.79,8.17,1.08,5.53,12.01,3.83,3.18,708.2,3.65,21.79,6.18,1.37,499,4.93,12.21,5.82,2.12,4.9,16.65
Texas A&M,40.04,69.57,68,0.08,546,686,468,0.08,886,794,649,70,876.2,63.5,2.43,3.16,1.79,0.82,2.22,5.97,"1,573.25","1,008.48",567.11,2.52,2.89,2.13,0.99,2.59,5.95,"1,567.23",922.87,646.71,"7,182.00",1239,2.43,"1,573.25",5.02,13.03,7.74,1.94,33.17,10474,12.51,3931,12.94,4115,41.29,788.5,14.16,1.69,1.08,0.61,7.77,1.48,5.48,10.62,3.23,4.83,3.91,21.29,5.46,1.79,567.11,5.1,10.41,5.53,3.16,"1,008.48",4.98,15.78,7087,1238,2.52,"1,567.23",4.99,13.68,7.95,2.04,33.85,10814,13.01,4070,17.09,4795,42.25,776,-14.9,1.8,1.09,0.71,7.71,1.57,5.44,11.19,3.29,4.73,922.87,3.89,21.91,5.51,2.13,646.71,5.12,11.29,5.49,2.89,4.85,16.28
Texas State,41.89,65.85,64.44,0.08,752,651,632,0.09,798,764,584,61.5,769.9,-43,1.88,2.44,1.22,-0.13,1.76,5.46,"1,361.60",870.48,498.52,2.11,2.69,1.64,0.4,1.97,5.45,"1,401.28",817.72,590.41,"7,436.00",1325,1.88,"1,361.60",4.63,13.42,7.57,2.23,31.06,11158,11.17,4016,13.11,4739,41.55,769.3,15.51,1.9,1.2,0.7,7.49,1.09,5.09,11.26,3.51,3.58,3.63,19.92,5.63,1.22,498.52,4.56,10.89,5.36,2.44,870.48,4.64,15.94,7568,1326,2.11,"1,401.28",4.88,13.08,7.49,2.12,32.33,11855,12.26,4437,14.43,5117,40.92,766,-15.76,1.77,1.14,0.63,7.67,1.42,5.4,11.08,3.33,3.64,817.72,3.63,19.87,5.93,1.64,590.41,4.9,11.05,5.06,2.69,4.81,15.58
Texas Tech,50.66,76.33,76.44,0.08,894,772,858,0.08,448,605,415,74,900.5,88.8,1.68,2.05,1.3,-0.05,1.91,4.41,"1,209.04",765.66,446.86,1.69,2.22,1.19,0.03,1.93,4.33,"1,067.95",698.37,378.84,"7,314.00",1372,1.68,"1,209.04",4.45,13.64,7.74,2.4,30.5,10301,11.87,4046,16.02,5475,39.59,770.7,15.42,2,1.3,0.7,7.38,0.86,4.98,11.21,3.62,3.32,3.35,21.03,5.58,1.3,446.86,4.48,11.72,5.41,2.05,765.66,4.41,15.64,7179,1368,1.69,"1,067.95",4.44,13.56,7.54,2.53,29.21,9608,11.59,3779,16.47,5329,38.33,777,-14.94,2.02,1.3,0.73,7.38,1.03,5.01,11.34,3.62,3.05,698.37,3.29,20.49,5.62,1.19,378.84,4.36,11.63,5.37,2.22,4.5,15.63
Toledo,31.12,55.42,57.54,0.08,785,815,693,0.08,870,764,684,56.5,714.3,-92.9,1.56,1.92,1.27,0.6,1.29,3.99,732.09,423.05,312.43,2.59,3.31,1.95,1.02,2.52,6.01,999.42,594.66,414.86,"4,385.00",794,1.56,732.09,4.55,13.29,7.16,2.15,31.75,6994,12.07,2654,14.25,3189,35.61,759.8,16.19,1.88,1.27,0.61,7.52,0.91,5.1,11.19,3.48,3.08,3.34,20.68,5.97,1.27,312.43,4.59,11.32,5.02,1.92,423.05,4.45,16,4425,790,2.59,999.42,4.99,13.77,7.88,2.2,32.56,6968,13.1,2849,16.78,3581,40.83,755,-16.52,1.79,1.24,0.55,7.61,1.63,5.5,11.24,3.39,4.63,594.66,3.77,21.73,6,1.95,414.86,4.98,11.33,5,3.31,4.95,16.83
Troy,37.4,66.86,68.87,0.08,648,622,583,0.09,811,688,479,67,776.1,-25.2,2.23,2.6,1.9,0.44,2.02,6.18,"1,684.73",829.58,862.88,2.17,2.62,1.84,0.36,1.92,6.07,"1,617.41",868.5,754.7,"8,144.00",1438,2.23,"1,684.73",4.83,13.39,7.53,2.14,32.7,13813,12.77,5366,16.33,6996,41.45,775.7,15.06,1.85,1.22,0.63,7.6,1.52,5.33,11.29,3.4,3.85,3.69,20.25,6.09,1.9,862.88,4.89,11.44,4.9,2.6,829.58,4.72,15.98,8273,1441,2.17,"1,617.41",4.88,13.2,7.65,2.01,33.51,13466,12.38,4952,13.72,5463,40,770,-15.47,1.73,1.07,0.66,7.6,1.44,5.39,11.04,3.4,3.81,868.5,3.71,20.22,5.87,1.84,754.7,5,10.87,5.13,2.62,4.71,16.21
Tulane,55.67,84.27,84.2,0.08,578,644,646,0.08,567,788,495,82,890.5,70.6,2.41,3.33,1.56,0.83,2.36,5.96,"1,719.15","1,169.17",553.58,1.9,2.33,1.55,0.43,1.68,4.85,"1,290.15",773.86,519.89,"7,539.00",1343,2.41,"1,719.15",4.9,13.65,7.79,2.2,32.33,11235,12.59,4370,14.99,5224,40.72,769.9,15.6,1.92,1.23,0.69,7.6,1.52,5.38,11.02,3.4,4.45,3.84,21.92,5.58,1.56,553.58,4.83,10.89,5.42,3.33,"1,169.17",4.98,16.51,7399,1330,1.9,"1,290.15",4.6,13.64,7.58,2.25,31.4,10571,12.19,4101,14.53,4796,40.85,782,-14.52,1.94,1.23,0.71,7.43,1.3,5.17,11.48,3.57,3.21,773.86,3.42,20.52,5.52,1.55,519.89,4.56,11.64,5.48,2.33,4.65,15.72
Tulsa,44.08,68.89,69.99,0.07,749,630,774,0.08,560,731,677,68.5,837.1,26.5,2.18,2.84,1.52,0.59,2.12,5.46,"1,521.64",974.35,555.87,2.14,3.14,1.22,0.48,2.07,5.35,"1,415.48",996.21,421.94,"7,562.00",1360,2.18,"1,521.64",4.71,13.97,7.84,2.15,32.22,11622,12.36,4468,15.53,5677,40.4,770.5,15.45,1.86,1.24,0.62,7.44,1.45,5.22,11.65,3.56,3.7,3.64,21.01,5.83,1.52,555.87,4.59,11.27,5.17,2.84,974.35,4.81,17.04,7512,1355,2.14,"1,415.48",4.63,14.17,7.89,2.29,30.47,10779,11.49,4031,14.23,5011,40.43,774,-15.28,1.91,1.27,0.64,7.43,1.4,5.16,11.66,3.57,3.73,996.21,3.51,21.93,5.73,1.22,421.94,4.53,11.28,5.27,3.14,4.69,17.34
UAB,44.98,74.25,72.18,0.09,774,625,589,0.08,591,543,672,69.5,775,-50.5,2.1,2.49,1.8,0.45,1.93,6.07,"1,439.53",714.37,730.83,1.89,2.56,1.27,0.53,1.89,5.17,"1,258.45",802.83,459.58,"7,241.00",1265,2.1,"1,439.53",4.73,13.7,8.04,1.99,33.8,12360,12.18,4564,14.27,5518,40.8,761.6,16.07,1.8,1.15,0.66,7.58,1.35,5.22,11.28,3.42,3.75,3.63,21.45,6.02,1.8,730.83,4.88,11.03,4.97,2.49,714.37,4.55,17.24,7011,1271,1.89,"1,258.45",4.67,13.23,7.98,2.04,32.25,10729,11.15,3739,13.49,4708,36.68,778,-14.93,1.79,1.2,0.59,7.47,1.29,5.21,11.07,3.53,3.13,802.83,3.53,19.96,5.74,1.27,459.58,4.69,10.47,5.26,2.56,4.64,16.32
UCF,37.99,60.57,61.67,0.07,730,593,821,0.07,516,789,681,58.5,750.3,5.9,1.82,2.33,1.33,0.41,1.63,4.85,"1,231.83",737.21,500.32,1.96,2.7,1.38,0.44,1.8,4.98,"1,255.57",782.7,474.88,"6,484.00",1184,1.82,"1,231.83",4.21,12.56,7.2,2.04,28.54,9923,11.15,3913,14.06,5051,36.38,699.9,14.12,1.79,1.22,0.57,6.73,1.21,4.7,10.41,3.27,3.06,3.19,19.11,5.31,1.33,500.32,4.17,10.41,4.68,2.33,737.21,4.22,15.23,6602,1183,1.96,"1,255.57",4.19,12.77,7.24,1.94,29.11,10294,10.99,3881,12.79,4514,38.03,691,-14.75,1.69,1.11,0.57,6.73,1.12,4.69,10.18,3.27,3.68,782.7,3.16,20.66,5.44,1.38,474.88,4.2,10.39,4.56,2.7,4.19,15.74
UCLA,52.82,78.76,81.91,0.09,631,865,739,0.1,888,724,706,81,982.6,110.1,2.41,3.04,1.68,0.44,2.3,6.44,"1,011.36",674.25,337.11,2.46,2.97,2.05,1.1,1.7,6.76,"1,033.72",572.23,463.14,"5,101.00",908,2.41,"1,011.36",5.31,14.37,8.43,2.48,34.5,7046,12.96,2605,17.02,3378,41.92,844.4,16.53,1.87,1.2,0.67,8.28,1.42,5.84,11.72,3.72,4.63,4.14,22.85,5.92,1.68,337.11,5.38,11.64,6.08,3.04,674.25,5.19,17.15,4946,899,2.46,"1,033.72",5.33,14.61,8.45,2.47,35.63,7591,14.5,3068,20.22,4326,43.05,845,-16.45,2.01,1.26,0.75,8.33,1.69,5.92,12.36,3.67,4.2,572.23,3.94,22.31,6.2,2.05,463.14,5.48,12.62,5.8,2.97,5.14,17.11
Connecticut,38.74,71.69,65.78,0.08,677,641,490,0.08,609,637,519,66,751.8,-7.6,1.69,2.1,1.04,0.16,1.69,4.48,"1,152.74",729.7,428.76,2.02,2.69,1.41,0.48,1.72,5.9,"1,041.44",697.42,349.53,"5,782.00",998,1.69,"1,152.74",4.2,11.83,6.82,1.96,28.24,8881,10.08,3109,10.8,3485,33.86,713.9,13.12,1.62,1.08,0.54,6.82,0.81,4.67,9.64,3.18,3.54,3.17,18.76,5.15,1.04,428.76,4.21,9.57,4.84,2.1,729.7,4.06,14.37,5452,1003,2.02,"1,041.44",4.31,12.64,7.18,2.1,28.45,8023,11.39,3187,15.83,4255,35.86,706,-13.66,1.74,1.2,0.54,6.78,1.31,4.8,10.43,3.22,3.49,697.42,3.28,19.49,5.26,1.41,349.53,4.27,10.44,4.74,2.69,4.35,15.08
UMass,27.5,64.22,61.94,0.07,378,396,611,0.07,532,403,458,63,671,-11.1,1.89,2.41,1.37,0.48,1.82,4.61,"1,262.74",701.45,571.64,1.42,1.82,1.05,0.47,1.29,3.37,865.33,532.39,336.63,"5,358.00",901,1.89,"1,262.74",3.64,9.79,5.89,1.62,23.01,9026,9.03,3468,10.13,3985,31.6,550.3,11.92,1.35,0.9,0.45,5.6,1.24,3.98,8.14,2.4,3.42,2.86,15.19,4.48,1.37,571.64,3.65,7.95,3.52,2.41,701.45,3.53,12.18,4992,918,1.42,865.33,3.5,9.59,5.33,1.62,23.32,7353,9.41,2988,10.35,3333,27.15,567,-10.65,1.38,0.91,0.47,5.48,0.9,3.92,8.05,2.52,2.5,532.39,2.55,14.76,4.08,1.05,336.63,3.52,8.01,3.92,1.82,3.47,11.28
UNLV,51.37,78.8,75.78,0.09,716,816,551,0.09,574,425,666,73.5,825.5,-25.8,2.25,2.56,1.94,0.64,1.98,5.97,"1,200.98",656.07,546.99,1.92,2.21,1.65,0.09,1.65,5.57,977.55,565.93,416.96,"5,860.00",1041,2.25,"1,200.98",4.77,13.77,7.61,2.2,32.31,9142,12.57,3516,18.75,5186,38.25,751.4,16.71,1.66,1.12,0.54,7.67,1.57,5.32,11.58,3.33,3.83,3.48,21.45,5.91,1.94,546.99,4.83,11.98,5.09,2.56,656.07,4.62,16.15,5805,1034,1.92,977.55,4.65,13.47,7.85,2.24,31.79,8407,12.2,3197,14.5,3791,34.99,770,-15.37,1.83,1.24,0.59,7.51,1.03,5.15,11.1,3.49,3.87,565.93,3.56,20.97,5.56,1.65,416.96,4.77,11.46,5.43,2.21,4.5,15.83
USC,42.54,76.54,73.6,0.09,553,750,595,0.09,848,613,788,74,979.5,88.9,2.54,2.98,2.18,0.88,2.3,6.95,"1,292.47",768.74,525.37,2.39,3.2,1.68,0.77,2,6.67,978.25,644.33,342.28,"5,531.00",963,2.54,"1,292.47",5.43,14.27,8.13,2.51,35.4,8464,14.49,3470,19.75,4722,43.83,840.7,16.88,1.83,1.18,0.65,8.37,1.79,6.03,12.04,3.63,4.32,4.03,21.94,6.09,2.18,525.37,5.51,12.42,5.91,2.98,768.74,5.29,16.55,5380,972,2.39,978.25,5.26,14.67,8.46,2.51,34.51,7638,13.93,2985,18.38,3815,40.65,842,-16.58,1.99,1.27,0.72,8.22,1.5,5.82,12.24,3.78,4.41,644.33,4.03,22.37,5.98,1.68,342.28,5.34,12.28,6.02,3.2,5.18,17.36
